Datetime,Tweet Id,text,usernames,Stomach,Place,text_lemme,top_emotion,top_emotion_score,second_emotion,second_emotion_score,third_emotion,third_emotion_score
2022-05-31 19:20:30 + 00:00,1.53E+18,@yajunwwz It's like Wang Xiaofei still spent 50 million dollars on restaurants during the pandemic. Can you say he's not patriotic?,Philippekenlon,,,yajunwwz s like wang xiaofei spent 50 million dollar restaurant pandemic s patriotic,excitement,0.930016637,joy,0.048304796,neutral,0.009603607
2022-05-31 17:54:42 + 00:00,1.53E+18,"Residents of Shanghai thanked Dade in various ways to celebrate the lifting of the blockade. Strict prevention and control was not cancelled, and nucleic acid sampling was very popular. You must clear a health code to enter public restrooms. If you fail to clear and unblock, can you be sure that it won't happen again? Shanghai Epidemic｜Shanghai Unblockage｜Shanghai Epidemic Updates｜Shanghai Outbreak Catastrophes｜Beijing Outbreak
 https://t.co/x0gz0HcG1F",Zaiyeshuo,,,resident shanghai thanked dade way celebrate lifting blockade strict prevention control cancelled nucleic acid sampling popular clear health code enter public restroom fail clear unblock sure won t happen shanghai epidemic｜shanghai unblockage｜shanghai epidemic updates｜shanghai outbreak catastrophes｜beijing outbreak http t x0gz0hcg1f,neutral,0.848168671,admiration,0.112511322,gratitude,0.026625222
2022-05-31 17:54:29 + 00:00,1.53E+18,@chinana_jp is this epidemic closed down or not? Has the policy changed! Mainland cities are under a lot of pressure; they probably don't know how to do it yet,Vincent00979049,,,chinana jp epidemic closed policy changed ! mainland city lot pressure probably t know,realization,0.979501784,approval,0.011762554,neutral,0.004629977
2022-05-31 17:50:31 + 00:00,1.53E+18,"@shanren2011 Looking at so many diagnoses from people who came out of Shanghai. The Shanghai epidemic will soon return another wave, then spill over, and then continue to close down the city. This is evidenced by the posting!",7011Huazhong,,,shanren2011 looking diagnosis people came shanghai shanghai epidemic soon return wave spill continue close city evidenced posting !,approval,0.979355395,realization,0.014893739,neutral,0.002403807
2022-05-31 17:50:02 + 00:00,1.53E+18,"From the beginning of the global lockdown in early April until now, the coastal city of Shanghai in eastern China has been under strict epidemic control. On April 22, 2022, an anonymous filmmaker in Shanghai called “Strawberry Garden Forever”... https://t.co/kABonuxNt7",CdTChinese,,,beginning global lockdown early april coastal city shanghai eastern china strict epidemic control april 22 2022 anonymous filmmaker shanghai called “ strawberry garden forever ” http t kabonuxnt7,approval,0.994074643,realization,0.003550914,neutral,0.000513328
2022-05-31 17:12:40 + 00:00,1.53E+18,"Shanghai “The End” was a complete surprise! The Shanghai Municipal Government stated that the closure of the city was a voluntary act of the people led by neighborhood committees and autonomous agencies; the government never “locked down” SH, so there was no such thing as “unlocking”. 
Although the beginning of the Shanghai epidemic was chaotic and the process was sad, the ending was beautiful and comedic. 
I just love this style of painting Dragon Dianqing's current affairs politics, which makes people lose their temper even when they die. 
Should...",fairy7008,,,shanghai “ the end ” complete surprise ! shanghai municipal government stated closure city voluntary act people led neighborhood committee autonomous agency government “ locked down ” sh thing “ unlocking ” although beginning shanghai epidemic chaotic process sad ending beautiful comedic i love style painting dragon dianqing s current affair politics make people lose temper die should,admiration,0.744766057,neutral,0.19484438,love,0.011448604
2022-05-31 17:08:31 + 00:00,1.53E+18,"[The closure of the city is in the past; this electric car stock is about to reverse] Morgan Stanley said that the lockdown measures taken by China in response to the COVID-19 pandemic have dealt a heavy blow to Nio, but the electric car manufacturer is ready for a rebound, and it is expected that it may rebound within the next 15 days as soon as possible. https://t.co/TVWr4BAMCx https://t.co/ncXKKKdNGz",BrantChineseFN,,,closure city past electric car stock reverse morgan stanley said lockdown measure taken china response covid 19 pandemic dealt heavy blow nio electric car manufacturer ready rebound expected rebound 15 day soon possible http t tvwr4bamcx http t ncxkkkdngz,optimism,0.990357459,desire,0.004189188,neutral,0.001665668
2022-05-31 16:44:54 + 00:00,1.53E+18,"At last, the closure of Shanghai was basically lifted, where it was difficult to return
 to a “normal life” before the epidemic for more than two months, and the social and economic costs of the COVID-19 lockdown in Shanghai were lifted at 00:00 on June 1, leaving 25 million suffering citizens looking forward to some relief. Shanghai has been closed down for more than two months since the “zoning blockade” on March 28. However, Shanghai is still far from returning to a “normal life.” 
https://t.co/cOyRQ940B6",caichu88,,,closure shanghai basically lifted difficult return “ normal life ” epidemic month social economic cost covid 19 lockdown shanghai lifted 00 00 june 1 leaving 25 million suffering citizen looking forward relief shanghai closed month “ zoning blockade ” march 28 shanghai far returning “ normal life ” http t coyrq940b6,sadness,0.57378453,disappointment,0.381617188,neutral,0.012184013
2022-05-31 16:25:03 + 00:00,1.53E+18,"🌲🌲🌲 The series I'm full of energy, keeping my distance during the epidemic and everything out,
 Pangu Times News, the epidemic closed down https://t.co/7F8pGknydZ",Xiaoya48874167,,,🌲🌲🌲 series m energy keeping distance epidemic pangu time news epidemic closed http t 7f8pgknydz,approval,0.96940887,realization,0.022690138,neutral,0.004690259
2022-05-31 16:13:39 + 00:00,1.53E+18,"The beginning of the closure of Shanghai is that on May 29, the Shanghai Epidemic Prevention and Control News Conference officially denied the “closure of the city” claim, stating that “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used.” https://t.co/zDZxxwdmUq",kun1110664,,,beginning closure shanghai 29 shanghai epidemic prevention control news conference officially denied “ closure city ” claim stating “ shanghai announced blockade unblocking term unblock ” http t zdzxxwdmuq,disapproval,0.960548699,approval,0.029303307,neutral,0.004883982
2022-05-31 15:09:20 + 00:00,1.53E+18,“Song of Grass” gave a comprehensive review of the victory that never closed down the city after the Shanghai epidemic was lifted.,Emmanuel2078,,,“ song grass ” gave comprehensive review victory closed city shanghai epidemic lifted,approval,0.975259662,admiration,0.018878307,neutral,0.001823468
2022-05-31 14:45:04 + 00:00,1.53E+18,"The closure of Shanghai ended when it was basically lifted, making it difficult to return to a “normal life” before the epidemic https://t.co/8xcS2EajJN",Voacantiness,,,closure shanghai ended basically lifted making difficult return “ normal life ” epidemic http t 8xcs2eajjn,approval,0.989243031,optimism,0.002649788,neutral,0.00202253
2022-05-31 14:33:11 + 00:00,1.53E+18,"@jianmang049 @zhangheci that calculation is definitely not correct. If the city isn't closed down, can this be done with 7,000 surgeries every day? A large number of patients are pouring into hospitals, causing medical shortages, which also causes delays for other patients. The truth is that every peak of the epidemic causes a large number of “more than deaths.” Up to now, the total number of COVID-19 deaths in Japan is only 30,000, but at the peak of the Delta in May last year, there were more than 5,000 deaths a month.",164344272,,,jianmang049 zhangheci calculation definitely correct city isn t closed 7 000 surgery day large number patient pouring hospital causing medical shortage cause delay patient truth peak epidemic cause large number “ more death ” total number covid 19 death japan 30 000 peak delta year 5 000 death month,neutral,0.672936678,realization,0.30993399,approval,0.012521672
2022-05-31 14:20:35 + 00:00,1.53E+18,"The closure of the city of Shanghai was finally lifted and it is difficult to return to “normal life” before the epidemic https://t.co/khbxK45Vc2 The COVID-19 lockdown in Shanghai, which lasted more than two months and had huge social and economic costs, was lifted at 00:00 on June 1, leaving 25 million suffering citizens looking forward to some relief. Shanghai has been closed down for more than two months since the “zoning blockade” on March 28.",L5d,,,closure city shanghai finally lifted difficult return “ normal life ” epidemic http t khbxk45vc2 covid 19 lockdown shanghai lasted month huge social economic cost lifted 00 00 june 1 leaving 25 million suffering citizen looking forward relief shanghai closed month “ zoning blockade ” march 28,neutral,0.94128865,disappointment,0.026590319,sadness,0.009801219
2022-05-31 14:11:23 + 00:00,1.53E+18,"@iPaulCanada a bunch of idiots, they'll never understand that the closure of the city has nothing to do with the epidemic. The CCP can close the city right away when it is “necessary”. Of course, it's still in the name of the epidemic. It's just pretty chives in the clouds and fog. Let's continue to be obscene.",DF77p28t4ikai6,,,ipaulcanada bunch idiot ll understand closure city epidemic ccp close city right away “ necessary ” course s epidemic s pretty chive cloud fog let s continue obscene,realization,0.981954694,approval,0.006900843,neutral,0.004098919
2022-05-31 14:09:35 + 00:00,1.53E+18,"The closure of Shanghai has finally been lifted and it is difficult to return to “normal life” before the epidemic
 https://t.co/GGZVnuMzbw",Chvideonews,,,closure shanghai finally lifted difficult return “ normal life ” epidemic http t ggzvnumzbw,approval,0.990005553,realization,0.007435571,neutral,0.000625583
2022-05-31 13:55:29 + 00:00,1.53E+18,"Shanghai epidemic press conference: There is no lockdown in Shanghai; Shanghai residents are voluntarily quarantined at home; the neighborhood
 committee organizes self-government for residents; all of their actions have nothing to do with the government https://t.co/L1o06ATcGk",BTCYIYI,,,shanghai epidemic press conference lockdown shanghai shanghai resident voluntarily quarantined home neighborhood committee organizes self government resident action government http t l1o06atcgk,approval,0.911680877,realization,0.081448734,neutral,0.001888093
2022-05-31 13:49:34 + 00:00,1.53E+18,The closure of Shanghai has finally been lifted and it is difficult to return to “normal life” before the epidemic https://t.co/hzST6DxZmO,VoaChinese,,,closure shanghai finally lifted difficult return “ normal life ” epidemic http t hzst6dxzmo,approval,0.989758134,realization,0.007393544,neutral,0.0008035
2022-05-31 13:38:20 + 00:00,1.53E+18,"COVID-19: Shanghai announces a complete re-closure of the city in February, citizens are “mixed feelings” - BBC News English https://t.co/o2NvK83qSy https://t.co/UBVnoQULGM",MingjingNews,,,covid 19 shanghai announces complete closure city february citizen “ mixed feeling ” bbc news english http t o2nvk83qsy http t ubvnoqulgm,approval,0.984439611,amusement,0.011487142,neutral,0.000830855
2022-05-31 13:18:21 + 00:00,1.53E+18,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.” When it comes to writing skills, the Shanghai government is the most aggressive",Quakewang,,,29 shanghai held press conference prevention control epidemic relevant leader officially denied “ closure city ” claim saying “ shanghai announced blockade unblocking term unblock static management entire shanghai area pressing pause button core function city remained operation period ” come writing skill shanghai government aggressive,disapproval,0.930760562,approval,0.06044399,neutral,0.002327151
2022-05-31 13:12:23 + 00:00,1.53E+18,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.” 
———
 Correct collective memory",Cherylnatsu,,,29 shanghai held press conference prevention control epidemic relevant leader officially denied “ closure city ” claim saying “ shanghai announced blockade unblocking term unblock static management entire shanghai area pressing pause button core function city remained operation period ” ——— correct collective memory,disapproval,0.87553376,approval,0.11468108,neutral,0.004042599
2022-05-31 12:49:16 + 00:00,1.53E+18,"Incidentally, when COVID-19 coexisted abroad, this friend often told me that it was dangerous abroad. There were many confirmed cases, and asked me if I would come back. I said it's not as dangerous as the country says. Although the number of confirmed cases is high, everyone's life is quite normal, and everyone I know has healed normally. Then there was an epidemic in the country, and then the city was closed down.",Gleone0718,,,incidentally covid 19 coexisted abroad friend told dangerous abroad confirmed case asked come said s dangerous country say number confirmed case high s life normal know healed normally epidemic country city closed,neutral,0.554340005,optimism,0.398061395,realization,0.01860296
2022-05-31 12:34:39 + 00:00,1.53E+18,"In Shanghai, tomorrow June 1, the blockade will be officially lifted. Most people will be able to freely enter and leave the community, and transportation, commercial production, etc. will resume. 
The city was closed down in February, and his vitality was seriously damaged. The road to recovery is long. 
However, under the pressure of dynamic elimination, the epidemic may suddenly recur and rebound. So, will the city be closed down again? 
As far as the actual situation is concerned, Shanghai really can't be bothered. 
However, with the barbarism, ignorance and tyranny of those people, this is entirely possible. https://t.co/509NPYkzHT",DoraDaMon1,,,shanghai tomorrow june 1 blockade officially lifted people able freely enter leave community transportation commercial production resume the city closed february vitality seriously damaged road recovery long however pressure dynamic elimination epidemic suddenly recur rebound city closed a far actual situation concerned shanghai t bothered however barbarism ignorance tyranny people entirely possible http t 509npykzht,approval,0.955763578,realization,0.026207086,neutral,0.012336493
2022-05-31 12:14:29 + 00:00,1.53E+18,"On the eve of the lifting of the blockade in Shanghai, residents confessed: I can't believe that this day has arrived, only 5% of restaurant revenue is bitter, the
 blockade of Shanghai, the blockade of Shanghai, China, the Chinese Communist Party of China, the novel coronavirus COVID-19 epidemic, COVID19, Apple News, appledailytw, appledailytw, appledailytw,
 https://t.co/4lpyJqY9nO",TW_nextMedia,,,eve lifting blockade shanghai resident confessed t believe day arrived 5 restaurant revenue bitter the blockade shanghai blockade shanghai china chinese communist party china novel coronavirus covid 19 epidemic covid19 apple news appledailytw appledailytw appledailytw http t 4lpyjqy9no,approval,0.995192885,optimism,0.001648317,neutral,0.000526243
2022-05-31 12:08:00 + 00:00,1.53E+18,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying that Shanghai had never announced a “lockdown”, so there was no “unblocking”. The static management of the whole of Shanghai was by pressing the pause button... -
 - There are some things that really don't need to be questioned; otherwise, it will lower your IQ and moral standards. Looking back, every step of the process was an answer. https://t.co/IcmPKzXd7V",LQ0068,,,29 shanghai held press conference prevention control epidemic relevant leader officially denied “ closure city ” claim saying shanghai announced “ lockdown ” “ unblocking ” static management shanghai pressing pause button thing t need questioned lower iq moral standard looking step process answer http t icmpkzxd7v,disapproval,0.912345409,approval,0.076567262,neutral,0.006121141
2022-05-31 12:01:26 + 00:00,1.53E+18,"Residents are freaking out money. After more than a month of blockade, the people of Dandong were unable to wait for the blockade to be lifted, but another round of additions. The situation close to North Korea was even more severe than that of North Korea. The limited purchase of goods is like going back to the last century, and the expensive food is a source of suffering. Dandong Outbreak | Dandong Closure | China Outbreak Out of Control | China Outbreak | Beijing Outbreak | Shanghai Outbreak
 https://t.co/gTY3K2Ws7X",Zaiyeshuo,,,resident freaking money month blockade people dandong unable wait blockade lifted round addition situation close north korea severe north korea limited purchase good like going century expensive food source suffering dandong outbreak | dandong closure | china outbreak control | china outbreak | beijing outbreak | shanghai outbreak http t gty3k2ws7x,approval,0.99577868,anger,0.000733166,neutral,0.000688014
2022-05-31 11:28:48 + 00:00,1.53E+18,"“Hunan man flees Shanghai with gypsum” hit the headlines

 Qu Bin, a 35-year-old Hunan guy, went to work in Shanghai in February and was blocked in March. He was locked up in Shanghai. He sprained his foot when he went downstairs to get nucleic acid, and I don't know how many days he slept on a hospital chair. Netizens: “Life is not easy for young people. Many people have lost their way of life under the closure of the city due to the pandemic!” “Even without an epidemic, it would be very difficult for most people to live.” https://t.co/ufPHDVKsii",Yulin18494807,,,“ hunan man flees shanghai gypsum ” hit headline qu bin 35 year old hunan guy went work shanghai february blocked march locked shanghai sprained foot went downstairs nucleic acid t know day slept hospital chair netizens “ life easy young people people lost way life closure city pandemic ! ” “ even epidemic difficult people live ” http t ufphdvksii,sadness,0.959464967,disappointment,0.025107285,neutral,0.00301633
2022-05-31 10:42:16 + 00:00,1.53E+18,"Shanghai has never announced the closure of the city, so there has been no lifting of the blockade. 
It was not Shanghai Xiaoyasan who said this, but the relevant leaders at the Shanghai epidemic prevention and control press conference. https://t.co/Cdvj9WN9jk",wangzhihua917,,,shanghai announced closure city lifting blockade it shanghai xiaoyasan said relevant leader shanghai epidemic prevention control press conference http t cdvj9wn9jk,approval,0.995672703,admiration,0.002209919,neutral,0.000318402
2022-05-31 10:15:31 + 00:00,1.53E+18,"Under the pandemic, impatience is
 more like a normal state of affairs; the
 streets are unsealed, but everything is flat;
 restaurants are not closed, so they rely on takeout to save themselves;
 shopping malls are in business, but they are empty. 
The lifting of the blockade was suddenly announced yesterday, but I believe the city will continue to be closed down after some time, Delta. https://t.co/THVF6lzrJK",HanBing2311,,,pandemic impatience is like normal state affair the street unsealed flat restaurant closed rely takeout save shopping mall business the lifting blockade suddenly announced yesterday believe city continue closed time delta http t thvf6lzrjk,approval,0.973555148,annoyance,0.014692711,neutral,0.006818844
2022-05-31 09:16:12 + 00:00,1.53E+17,"Jingyuan Electronics: The closure of China's epidemic has led major countries to build their own semiconductor supply chains
 https://t.co/crbwOrr3lc
 Li Jingong pointed out that in terms of the balance between supply and demand in the semiconductor industry, the production capacity of Taiwan's manufacturing supply chain is expanding and severe, and mature process production capacity is still a bottleneck. 
https://t.co/ibpuhAb30i",M157q_news_rss,,,jingyuan electronics closure china s epidemic led major country build semiconductor supply chain http t crbworr3lc li jingong pointed term balance supply demand semiconductor industry production capacity taiwan s manufacturing supply chain expanding severe mature process production capacity bottleneck http t ibpuhab30i,approval,0.995436132,sadness,0.001003418,neutral,0.000793126
2022-05-31 09:08:18 + 00:00,1.53E+18,"The epidemic in China fell back and Shanghai was unblocked in June, and the stock market returned to power without a blockade in Beijing? Weak confidence in credit lenders is difficult to revive | Wenchang Kang Stock Market https://t.co/0IsF6MMeVp",McTalkpe,,,epidemic china fell shanghai unblocked june stock market returned power blockade beijing weak confidence credit lender difficult revive | wenchang kang stock market http t 0isf6mmevp,realization,0.993845642,disappointment,0.00114902,neutral,0.000942648
2022-05-31 09:06:40 + 00:00,1.53E+18,"@jack99119911 @Bruce08101 @konozam43628510 @simajizu @peterliu2121 @evIElpnjASSm415 @zlj517 @SpokespersonCHN hehe, I'm sure you'll break the rules. I'm saying if there's an epidemic, you'll stick with it; if the epidemic isn't over, why stick to the closure of the city? Are you stupid or do you think someone else is stupid? Keep watching your Excellency's performance!",kevin63920264,,,jack99119911 bruce08101 konozam43628510 simajizu peterliu2121 evielpnjassm415 zlj517 spokespersonchn hehe m sure ll break rule m saying s epidemic ll stick epidemic isn t stick closure city stupid think stupid watching excellency s performance !,neutral,0.758622825,annoyance,0.141462967,amusement,0.068445295
2022-05-31 08:43:56 + 00:00,1.53E+18,"(Retweet) Expectations of “unblocking” have been going viral for some time now, but have now been quietly avoided with the phrase “restoration of free entry and exit in an orderly manner.” It seems like Shanghai hasn't been closed down at all, so we can't talk about “unblocking” anything. Since the outbreak of the epidemic, Shanghai has always focused on word games. Despite the management mess and constant sleazy games, the article still needs to be done well. The title Party must do its best, and face must be... https://t.co/bHDvi7zid3",yuzhouren6_6,,,retweet expectation “ unblocking ” going viral time quietly avoided phrase “ restoration free entry exit orderly manner ” like shanghai hasn t closed t talk “ unblocking ” outbreak epidemic shanghai focused word game despite management mess constant sleazy game article need title party best face http t bhdvi7zid3,realization,0.982432246,approval,0.014239023,neutral,0.00126755
2022-05-31 07:30:19 + 00:00,1.53E+18,"@Alice337799 On May 29, Shanghai held a press conference on epidemic prevention and control. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'lockdown', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.”",Jackeiezhou,,,alice337799 29 shanghai held press conference epidemic prevention control relevant leader officially denied “ closure city ” claim saying “ shanghai announced lockdown unblocking term unblock static management entire shanghai area pressing pause button core function city remained operation period ”,disapproval,0.983171284,approval,0.012153755,neutral,0.001743555
2022-05-31 07:29:22 + 00:00,1.53E+18,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period. https://t.co/3X4Qb4CEsl",Jackeiezhou,,,29 shanghai held press conference prevention control epidemic relevant leader officially denied “ closure city ” claim saying “ shanghai announced blockade unblocking term unblock static management entire shanghai area pressing pause button core function city remained operation period http t 3x4qb4cesl,disapproval,0.662555575,approval,0.325489432,neutral,0.005586134
2022-05-31 07:16:24 + 00:00,1.53E+18,"Keep your distance during the pandemic series, keep your distance during the pandemic!!!!!! Pangu News: The epidemic is closed down https://t.co/26L7E85R78",0yefan0,,,distance pandemic series distance pandemic ! ! ! ! ! ! pangu news epidemic closed http t 26l7e85r78,realization,0.788465679,surprise,0.075880125,neutral,0.042394198
2022-05-31 07:06:54 + 00:00,1.53E+18,"@Jam79922967 Xi Jinping is out of nowhere! The real purpose of closing down cities and communities under the pretext of preventing and fighting the epidemic is to tame the common people, indoctrinate the idea of slavery, and implement high-pressure rule by foolish people! The closure of cities and neighborhoods caused serious secondary disasters far higher than the epidemic itself! Xi Jinping is dumbfounded, supports Putin in starting a war, stands on the wrong side, and seriously misjudges the situation! Xi Jinping is a reappearance of Qin II! Xi Jinping is the root cause of the suffering of the Chinese people! Call on Xi Jinping to step down and apologize for his crimes!",Jiumost,,,jam79922967 xi jinping nowhere ! real purpose closing city community pretext preventing fighting epidemic tame common people indoctrinate idea slavery implement high pressure rule foolish people ! closure city neighborhood caused secondary disaster far higher epidemic itself ! xi jinping dumbfounded support putin starting war stand wrong seriously misjudges situation ! xi jinping reappearance qin ii ! xi jinping root cause suffering chinese people ! xi jinping step apologize crime !,sadness,0.807816386,remorse,0.084283434,neutral,0.04035449
