Datetime,Tweet Id,text,usernames,Stomach,Place
2022-05-31 19:20:30 + 00:00,1531717272036855809,@yajunwwz It's like Wang Xiaofei still spent 50 million dollars on restaurants during the pandemic. Can you say he's not patriotic?,Philippekenlon,,
2022-05-31 17:54:42 + 00:00,1531695680993075207,"Residents of Shanghai thanked Dade in various ways to celebrate the lifting of the blockade. Strict prevention and control was not cancelled, and nucleic acid sampling was very popular. You must clear a health code to enter public restrooms. If you fail to clear and unblock, can you be sure that it won't happen again? Shanghai Epidemic｜Shanghai Unblockage｜Shanghai Epidemic Updates｜Shanghai Outbreak Catastrophes｜Beijing Outbreak
 https://t.co/x0gz0HcG1F",Zaiyeshuo,,
2022-05-31 17:54:29 + 00:00,1531695624592441344,@chinana_jp is this epidemic closed down or not? Has the policy changed! Mainland cities are under a lot of pressure; they probably don't know how to do it yet,Vincent00979049,,
2022-05-31 17:50:31 + 00:00,1531694628725936129,"@shanren2011 Looking at so many diagnoses from people who came out of Shanghai. The Shanghai epidemic will soon return another wave, then spill over, and then continue to close down the city. This is evidenced by the posting!",7011Huazhong,,
2022-05-31 17:50:02 + 00:00,1531694505316917248,"From the beginning of the global lockdown in early April until now, the coastal city of Shanghai in eastern China has been under strict epidemic control. On April 22, 2022, an anonymous filmmaker in Shanghai called “Strawberry Garden Forever”... https://t.co/kABonuxNt7",CdTChinese,,
2022-05-31 17:12:40 + 00:00,1531685102387793920,"Shanghai “The End” was a complete surprise! The Shanghai Municipal Government stated that the closure of the city was a voluntary act of the people led by neighborhood committees and autonomous agencies; the government never “locked down” SH, so there was no such thing as “unlocking”. 
Although the beginning of the Shanghai epidemic was chaotic and the process was sad, the ending was beautiful and comedic. 
I just love this style of painting Dragon Dianqing's current affairs politics, which makes people lose their temper even when they die. 
Should...",fairy7008,,
2022-05-31 17:08:31 + 00:00,1531684058610012161,"[The closure of the city is in the past; this electric car stock is about to reverse] Morgan Stanley said that the lockdown measures taken by China in response to the COVID-19 pandemic have dealt a heavy blow to Nio, but the electric car manufacturer is ready for a rebound, and it is expected that it may rebound within the next 15 days as soon as possible. https://t.co/TVWr4BAMCx https://t.co/ncXKKKdNGz",BrantChineseFN,,
2022-05-31 16:44:54 + 00:00,1531678113838649346,"At last, the closure of Shanghai was basically lifted, where it was difficult to return
 to a “normal life” before the epidemic for more than two months, and the social and economic costs of the COVID-19 lockdown in Shanghai were lifted at 00:00 on June 1, leaving 25 million suffering citizens looking forward to some relief. Shanghai has been closed down for more than two months since the “zoning blockade” on March 28. However, Shanghai is still far from returning to a “normal life.” 
https://t.co/cOyRQ940B6",caichu88,,
2022-05-31 16:25:03 + 00:00,1531673118682583040,"🌲🌲🌲 The series I'm full of energy, keeping my distance during the epidemic and everything out,
 Pangu Times News, the epidemic closed down https://t.co/7F8pGknydZ",Xiaoya48874167,,
2022-05-31 16:13:39 + 00:00,1531670250315726848,"The beginning of the closure of Shanghai is that on May 29, the Shanghai Epidemic Prevention and Control News Conference officially denied the “closure of the city” claim, stating that “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used.” https://t.co/zDZxxwdmUq",kun1110664,,
2022-05-31 15:09:20 + 00:00,1531654063074549760,“Song of Grass” gave a comprehensive review of the victory that never closed down the city after the Shanghai epidemic was lifted.,Emmanuel2078,,
2022-05-31 14:45:04 + 00:00,1531647957195296768,"The closure of Shanghai ended when it was basically lifted, making it difficult to return to a “normal life” before the epidemic https://t.co/8xcS2EajJN",Voacantiness,,
2022-05-31 14:33:11 + 00:00,1531644967315046400,"@jianmang049 @zhangheci that calculation is definitely not correct. If the city isn't closed down, can this be done with 7,000 surgeries every day? A large number of patients are pouring into hospitals, causing medical shortages, which also causes delays for other patients. The truth is that every peak of the epidemic causes a large number of “more than deaths.” Up to now, the total number of COVID-19 deaths in Japan is only 30,000, but at the peak of the Delta in May last year, there were more than 5,000 deaths a month.",164344272,,
2022-05-31 14:20:35 + 00:00,1531641797788803079,"The closure of the city of Shanghai was finally lifted and it is difficult to return to “normal life” before the epidemic https://t.co/khbxK45Vc2 The COVID-19 lockdown in Shanghai, which lasted more than two months and had huge social and economic costs, was lifted at 00:00 on June 1, leaving 25 million suffering citizens looking forward to some relief. Shanghai has been closed down for more than two months since the “zoning blockade” on March 28.",L5d,,
2022-05-31 14:11:23 + 00:00,1531639479743696898,"@iPaulCanada a bunch of idiots, they'll never understand that the closure of the city has nothing to do with the epidemic. The CCP can close the city right away when it is “necessary”. Of course, it's still in the name of the epidemic. It's just pretty chives in the clouds and fog. Let's continue to be obscene.",DF77p28t4ikai6,,
2022-05-31 14:09:35 + 00:00,1531639029329969153,"The closure of Shanghai has finally been lifted and it is difficult to return to “normal life” before the epidemic
 https://t.co/GGZVnuMzbw",Chvideonews,,
2022-05-31 13:55:29 + 00:00,1531635479791423490,"Shanghai epidemic press conference: There is no lockdown in Shanghai; Shanghai residents are voluntarily quarantined at home; the neighborhood
 committee organizes self-government for residents; all of their actions have nothing to do with the government https://t.co/L1o06ATcGk",BTCYIYI,,
2022-05-31 13:49:34 + 00:00,1531633991895224320,The closure of Shanghai has finally been lifted and it is difficult to return to “normal life” before the epidemic https://t.co/hzST6DxZmO,VoaChinese,,
2022-05-31 13:38:20 + 00:00,1531631164787527681,"COVID-19: Shanghai announces a complete re-closure of the city in February, citizens are “mixed feelings” - BBC News English https://t.co/o2NvK83qSy https://t.co/UBVnoQULGM",MingjingNews,,
2022-05-31 13:18:21 + 00:00,1531626136933126145,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.” When it comes to writing skills, the Shanghai government is the most aggressive",Quakewang,,
2022-05-31 13:12:23 + 00:00,1531624635380342784,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.” 
———
 Correct collective memory",Cherylnatsu,,
2022-05-31 12:49:16 + 00:00,1531618814684561408,"Incidentally, when COVID-19 coexisted abroad, this friend often told me that it was dangerous abroad. There were many confirmed cases, and asked me if I would come back. I said it's not as dangerous as the country says. Although the number of confirmed cases is high, everyone's life is quite normal, and everyone I know has healed normally. Then there was an epidemic in the country, and then the city was closed down.",Gleone0718,,
2022-05-31 12:34:39 + 00:00,1531615136586567680,"In Shanghai, tomorrow June 1, the blockade will be officially lifted. Most people will be able to freely enter and leave the community, and transportation, commercial production, etc. will resume. 
The city was closed down in February, and his vitality was seriously damaged. The road to recovery is long. 
However, under the pressure of dynamic elimination, the epidemic may suddenly recur and rebound. So, will the city be closed down again? 
As far as the actual situation is concerned, Shanghai really can't be bothered. 
However, with the barbarism, ignorance and tyranny of those people, this is entirely possible. https://t.co/509NPYkzHT",DoraDaMon1,,
2022-05-31 12:14:29 + 00:00,1531610062912770048,"On the eve of the lifting of the blockade in Shanghai, residents confessed: I can't believe that this day has arrived, only 5% of restaurant revenue is bitter, the
 blockade of Shanghai, the blockade of Shanghai, China, the Chinese Communist Party of China, the novel coronavirus COVID-19 epidemic, COVID19, Apple News, appledailytw, appledailytw, appledailytw,
 https://t.co/4lpyJqY9nO",TW_nextMedia,,
2022-05-31 12:08:00 + 00:00,1531608431836205059,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying that Shanghai had never announced a “lockdown”, so there was no “unblocking”. The static management of the whole of Shanghai was by pressing the pause button... -
 - There are some things that really don't need to be questioned; otherwise, it will lower your IQ and moral standards. Looking back, every step of the process was an answer. https://t.co/IcmPKzXd7V",LQ0068,,
2022-05-31 12:01:26 + 00:00,1531606778990972928,"Residents are freaking out money. After more than a month of blockade, the people of Dandong were unable to wait for the blockade to be lifted, but another round of additions. The situation close to North Korea was even more severe than that of North Korea. The limited purchase of goods is like going back to the last century, and the expensive food is a source of suffering. Dandong Outbreak | Dandong Closure | China Outbreak Out of Control | China Outbreak | Beijing Outbreak | Shanghai Outbreak
 https://t.co/gTY3K2Ws7X",Zaiyeshuo,,
2022-05-31 11:28:48 + 00:00,1531598566862749696,"“Hunan man flees Shanghai with gypsum” hit the headlines

 Qu Bin, a 35-year-old Hunan guy, went to work in Shanghai in February and was blocked in March. He was locked up in Shanghai. He sprained his foot when he went downstairs to get nucleic acid, and I don't know how many days he slept on a hospital chair. Netizens: “Life is not easy for young people. Many people have lost their way of life under the closure of the city due to the pandemic!” “Even without an epidemic, it would be very difficult for most people to live.” https://t.co/ufPHDVKsii",Yulin18494807,,
2022-05-31 10:42:16 + 00:00,1531586853471547393,"Shanghai has never announced the closure of the city, so there has been no lifting of the blockade. 
It was not Shanghai Xiaoyasan who said this, but the relevant leaders at the Shanghai epidemic prevention and control press conference. https://t.co/Cdvj9WN9jk",wangzhihua917,,
2022-05-31 10:15:31 + 00:00,1531580121483661312,"Under the pandemic, impatience is
 more like a normal state of affairs; the
 streets are unsealed, but everything is flat;
 restaurants are not closed, so they rely on takeout to save themselves;
 shopping malls are in business, but they are empty. 
The lifting of the blockade was suddenly announced yesterday, but I believe the city will continue to be closed down after some time, Delta. https://t.co/THVF6lzrJK",HanBing2311,,
2022-05-31 09:16:12 + 00:00,153156519487297537,"Jingyuan Electronics: The closure of China's epidemic has led major countries to build their own semiconductor supply chains
 https://t.co/crbwOrr3lc
 Li Jingong pointed out that in terms of the balance between supply and demand in the semiconductor industry, the production capacity of Taiwan's manufacturing supply chain is expanding and severe, and mature process production capacity is still a bottleneck. 
https://t.co/ibpuhAb30i",M157q_news_rss,,
2022-05-31 09:08:18 + 00:00,1531563207055187968,"The epidemic in China fell back and Shanghai was unblocked in June, and the stock market returned to power without a blockade in Beijing? Weak confidence in credit lenders is difficult to revive | Wenchang Kang Stock Market https://t.co/0IsF6MMeVp",McTalkpe,,
2022-05-31 09:06:40 + 00:00,1531562795862753280,"@jack99119911 @Bruce08101 @konozam43628510 @simajizu @peterliu2121 @evIElpnjASSm415 @zlj517 @SpokespersonCHN hehe, I'm sure you'll break the rules. I'm saying if there's an epidemic, you'll stick with it; if the epidemic isn't over, why stick to the closure of the city? Are you stupid or do you think someone else is stupid? Keep watching your Excellency's performance!",kevin63920264,,
2022-05-31 08:43:56 + 00:00,1531557075008262144,"(Retweet) Expectations of “unblocking” have been going viral for some time now, but have now been quietly avoided with the phrase “restoration of free entry and exit in an orderly manner.” It seems like Shanghai hasn't been closed down at all, so we can't talk about “unblocking” anything. Since the outbreak of the epidemic, Shanghai has always focused on word games. Despite the management mess and constant sleazy games, the article still needs to be done well. The title Party must do its best, and face must be... https://t.co/bHDvi7zid3",yuzhouren6_6,,
2022-05-31 07:30:19 + 00:00,1531538551581446144,"@Alice337799 On May 29, Shanghai held a press conference on epidemic prevention and control. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'lockdown', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period.”",Jackeiezhou,,
2022-05-31 07:29:22 + 00:00,1531538309234577408,"On May 29, Shanghai held a press conference on the prevention and control of the epidemic. The relevant leaders officially denied the “closure of the city” claim, saying, “Shanghai has never announced a 'blockade', so there is no 'unblocking', and the term 'unblock' cannot be used. The static management of the entire Shanghai area was by pressing the pause button, but the core functions of the city remained in operation during this period. https://t.co/3X4Qb4CEsl",Jackeiezhou,,
2022-05-31 07:16:24 + 00:00,1531535046502490114,"Keep your distance during the pandemic series, keep your distance during the pandemic!!!!!! Pangu News: The epidemic is closed down https://t.co/26L7E85R78",0yefan0,,
2022-05-31 07:06:54 + 00:00,1531532656793763840,"@Jam79922967 Xi Jinping is out of nowhere! The real purpose of closing down cities and communities under the pretext of preventing and fighting the epidemic is to tame the common people, indoctrinate the idea of slavery, and implement high-pressure rule by foolish people! The closure of cities and neighborhoods caused serious secondary disasters far higher than the epidemic itself! Xi Jinping is dumbfounded, supports Putin in starting a war, stands on the wrong side, and seriously misjudges the situation! Xi Jinping is a reappearance of Qin II! Xi Jinping is the root cause of the suffering of the Chinese people! Call on Xi Jinping to step down and apologize for his crimes!",Jiumost,,
2022-05-31 06:58:35 + 00:00,1531530563768971264,"@MiaoYeM Xi Jinping is a fool of all time! The real purpose of closing down cities and communities under the pretext of preventing and fighting the epidemic is to tame the common people, indoctrinate the idea of slavery, and implement high-pressure rule by foolish people! The closure of cities and neighborhoods caused serious secondary disasters far higher than the epidemic itself! Xi Jinping is dumbfounded, supports Putin in starting a war, stands on the wrong side, and seriously misjudges the situation! Xi Jinping is a reappearance of Qin II! Xi Jinping is the root cause of the suffering of the Chinese people! Call on Xi Jinping to step down and apologize for his crimes!",Jiumost,,
2022-05-31 06:38:00 + 00:00,1531525382457131009,@epmosaics @MiaoYeM what's the good logic? Is fighting the epidemic so that people can live a normal life? Or is the city closed down at every turn so that no one dies from the epidemic?,ghjcat1,,
2022-05-31 06:22:10 + 00:00,1531521399579619328,"@ninamokujin 😓 I didn't say the closure of the city was related to the epidemic. The Shanghai blockade has made most people realize that “Omicron is not as harmful as the closure of the city.” However, positive tests are always reactive. Are many self-tested antigens just a blessing? Although the sensitivity is not as high as nucleic acid, it also has 50% accuracy. If you test positive a few more times, many people will still choose to report it rather than conceal it themselves, and the pandemic will definitely be detected.",NiceFwu,,
2022-05-31 06:18:24 + 00:00,1531520451201052674,"@niceFwu is still discussing the epidemic. It seems that it's still not clear. The entire lockdown has nothing to do with the epidemic. I'm not going to see what meetings will be held in the second half of this year. Therefore, people in Shanghai want to learn about Beijing people, and ask questions in key places. I want to tell you that Omicron is the best vaccine. Can you believe it? The whole of China has been swayed by the virus, and people are still counting money when they die. Follow me to learn the truth about the closure of the city",Forestlawtk,,
2022-05-31 06:04:04 + 00:00,1531516842036326401,"A series full of support, keeping distance and nothing out during the epidemic, Pangu Times News, the epidemic closed down https://t.co/X4nHOukBBz",Rybqjmahzungkgj,,
2022-05-31 05:59:57 + 00:00,1531515808156991488,"@jajia The epidemic isn't over yet, Shanghai has suffered heavy losses, so it's a wise decision not to dance at the grave. But let the grassroots neighborhood committee take responsibility for the closure of the city, let “personally” and exterminate Shitai's face anywhere",CasaDepezVolado,,
2022-05-31 05:35:45 + 00:00,1531509718984052737,"The outbreak in North Korea was unblocked in 10 days! The Korean media were surprised to reveal the inside story: 54 households were so hungry that they were drowsy https://t.co/6SGi6rpkxq Kim Jong-un, the supreme leader of North Korea, also quickly announced the lifting of the blockade, leaving people unsure. Korean media recently revealed that after the closure of the city in North Korea, patients were unable to buy medicine and many families were cut off from food one after another, leading to a situation where 54 households were hungry. As a result, Kim Jong-un had no choice but to quickly announce the lifting of the blockade.",McTalkpe,,
2022-05-31 05:20:55 + 00:00,1531505986397257731,"At the beginning of today's press conference, it was emphasized that “Shanghai has never announced the closure of the city,” and that last night's interim notice also required the media to stick to the statement of “static global management.” At the beginning of the epidemic, people all over the country cracked down on Shanghainese people as “sophisticated egoists.” Do you know who they are now? Yes, the numbers of these people you sent with a desire to take their seats have dropped, and it seems that some people's heads have come back to the top of their 20's... It's really not a good thing to do.",Kasuya101,,
2022-05-31 04:43:46 + 00:00,1531496635259404288,"It's been three years, and the prevention and control of the epidemic in China is still at the stage of nucleic acid for all people and the simple and crude closure of neighborhoods. Have you ever thought about whether the 3 billion vaccine doses were in vain? How many trillion dollars of health insurance funds have gone where? The reason why this nation continues to suffer disasters is not without reason. [Digest]",LetusPrayToGod,,
2022-05-31 03:52:26 + 00:00,1531483717423616000,"@VOAChinese Are you doing your best to render North Korea cover up the data to show that the epidemic is serious? Is it necessary to find a basis for the Communist Party's closure of the city? There are more than 1 million deaths in the US. The data is for you. Have you been held to account? If North Korea reports 10 times 100 times more deaths, what will you do next? Will you help them trace the origin of the virus or provide them with medical supplies? If not, then what is your own “motivation”?",change2change3,,
2022-05-31 03:42:59 + 00:00,1531481339991511040,"Ruili, a small border town on the Yunnan border in China, has now finally regained its vitality little by little after experiencing nine closures due to the epidemic. However, the impact that the closure of the city, which lasted 160 days before and after, had on the city is probably difficult to fully recover in a short period of time. 
According to some data, in April 2021, the number of people tested for nucleic acid in Ruili city was 380,000. By April 2022, this number was only 190,000 left, which is half less than a year ago.",peterzhou8964,,
2022-05-31 03:13:13 + 00:00,1531473849736384512,"Has Shanghai finally been unblocked? For example, people from all regions of
 Shanghai have been closed down for two months due to the epidemic. Recently, some districts, such as Fengxian District, are rumored to have been completely unblocked. Starting June 1, various department stores in Shanghai will also reopen. What is the real situation? Let's listen to what the residents of each district say. 
Learn more: https://t.co/G8Ez7PtdPy https://t.co/L4dQccHuX7",HerowELiam,,
2022-05-31 02:46:31 + 00:00,1531467130633437184,"@njchen1211 @MuYangLee_XWKD But judging from the releases to the government over the past few days, I believe the rumor even more... No way, the credibility has been lost too much. Let's first say there's no epidemic, arrest all the doctors knocking on the door, then say that Shanghai won't close the city and arrest the netizens who posted the news. Now, (▽) “hehe",WadeTorley,,
2022-05-31 01:32:28 + 00:00,1531448494874955776,@chenqiushi404 I heard that most of the fresh graduates from Peking University and Tsinghua University took the civil service exam and made up their careers. It's also something that can be done; people outside of the system don't know what day they will lose their jobs. Especially under the closure of the city due to the pandemic.,CalicocatCapta1,,
2022-05-31 00:33:59 + 00:00,1531433776261173248,"@ChineseWSJ I don't understand. In the face of the epidemic, it's wrong to actively prevent the spread of the epidemic; lying back on your back has become a model. The closure of the city did no good to the Communist Party in China, but why did they do it at any cost? Critics are either ignorant or bad",dukep41493519,,
2022-05-31 00:12:04 + 00:00,1531428261858795520,"When the blockade was lifted, residents of Aijianyuan in Xuhui District of Shanghai sent pennants to the Neighborhood Committee! 


Join Shanghai's Telegram ❤ Channel and Discussion Group in recognition of “Taojiang Lake” since the closure of the

 epidemic ❤
 https://t.co/iBe3ejlJx3

 Welcome to the post @City_Shanghai Shanghai Shanghai Epidemic Record History
 Shanghai Telegram Channel Shanghai https://t.co/XF0IA07bdz",City_Shanghai,,
2022-05-31 00:05:31 + 00:00,1531426611806908416,"@AmbLiuXiaoMing 35058593
 Xi Jinping is out of nowhere! The current situation of internal and external difficulties has been caused by Bao Zi alone! Personally directing personally deployed epidemic prevention measures completely deviates from science and the laws of nature! The closure of the city and the closure of neighborhoods caused serious secondary disasters far more than the epidemic itself! 
Xi Jinping is a ludicrous idiot! Supporting Putin in waging a war of aggression and undermining world peace is a heinous crime!",mademing021,,
2022-05-30 22:39:35 + 00:00,1531404984557809665,"For the same reason, I don't support people sending money. 

This is the same reason I am currently counting the economic accounts of the epidemic, the vaccine, and the closure of the city. 

Everything must start from reality and do what we can. 

I'm infected, not you; I'm not afraid of this virus. I haven't been afraid many times.",hjkl1568799,,
2022-05-30 22:30:43 + 00:00,1531402753527803904,"@AmbLiuXiaoMing Studying Baozi is Senko-kun! Personally directing personally deployed epidemic prevention measures completely deviates from science and the laws of nature! The closure of the city and the closure of neighborhoods caused serious secondary disasters far more than the epidemic itself! 
If Xi Baozi really cares about the safety of people's lives and property, he will unconditionally demand that hospitals treat all poor people who have no money to see a doctor! We must stop killing homes that damage the environment and damage people's health! 
Xi Jinping is ignorant of current affairs; why is it natural for him not to step down?",mademing021,,
2022-05-30 22:29:05 + 00:00,1531402344813932544,"@LinHenrry @TW_nextmedia The closure of Wuhan This was a sounding alarm. At the time, if the world followed up on epidemic prevention, the epidemic
 would have ended long ago.
 Capitalism pursues profit and doesn't care about human life. This is the reason the epidemic hasn't subsided Another reason you rely on others for your own reasons is also the genetic gene of running for politicians",chenyun76829,,
2022-05-30 22:21:42 + 00:00,1531400487815479296,"Beijing outbreak, Shanghai termite outbreak, master of the epidemic was discriminated against and left; Shanghai closed down | Shanghai resumed work | Shanghai unblocked | Beijing epidemic | Square cabin hospital | Outbreak of the epidemic | Termites | Killing mosquitoes and flies | Infected with the epidemic discriminated against | Shanghai Memories | Voice of Hope https://t.co/OnT0BL6A8C",K7KV30BYI00LDCC,,
2022-05-30 21:48:17 + 00:00,1531392074506850314,"A series full of support, keeping distance during the epidemic, everything out and about,

 Pangu Times News, the epidemic closed down https://t.co/xeqR2dFwEX",ez2p8,,
2022-05-30 21:40:16 + 00:00,1531390057034448896,"@wuwenhang Xi Jinping is a stupor! The real purpose of closing down cities and communities under the pretext of preventing and fighting the epidemic is to tame the common people, indoctrinate the idea of slavery, and implement high-pressure rule by foolish people! The closure of cities and neighborhoods caused serious secondary disasters far higher than the epidemic itself! Xi Jinping is dumbfounded, supports Putin in starting a war, stands on the wrong side, and seriously misjudges the situation! Xi Jinping is a reappearance of Qin II! Xi Jinping is the root cause of the suffering of the Chinese people! Call on Xi Jinping to step down and apologize for his crimes!",Jiumost,,
2022-05-30 15:59:03 + 00:00,1531304188462120960,"@ric24junio Chinese society generally advocates collectivism. Difficulties on one side, support from all sides. Whether it was the Wenchuan earthquake, the Wuhan outbreak, the Zhengzhou flood, or the current Shanghai epidemic, etc., enthusiastic people from all over the country donated materials, and there were also volunteers such as firefighters, soldiers, and doctors to rescue the victims. 
After the outbreak of the epidemic, the government would rather sacrifice the economy and close the city for the safety of vulnerable groups. I've never seen any capitalist do this.",MaxingY20001212,,
2022-05-30 14:43:40 + 00:00,1531285217209896964,"@sweetie_rt @jason_kb88 @Vxujianing damn it was someone else who killed you in Shanghai. Why did the whole of China kill you in Shanghai? Did Wu Zunyou prevent you from closing down the city? I can feel it. This means that the Shanghai epidemic will soon be over. Shanghai wants to report Zhang Wenhong. I've started whitewashing. I remember Zhang Wenhong's theory of coexistence in the middle of the Shanghai epidemic was correct. Wu Zunyou has always demanded that the closure of the city be a criminal. When it comes to you, it's the other way around. It's really OK. Big smart.",TWTW90200356,,
2022-05-30 14:43:37 + 00:00,1531285205213802502,"@wwart88 @dontbeshyohh @lonewalker1030 @YANGZHONGWEI2 How can he normally build a Huating Hotel in 3 days without going through an emergency opening by the Health and Health Commission to help divert Hong Kong visitors? Moreover, he is back on his mind; how can he ignore the painstaking persuasion of his fellow countrymen to prepare for a tenfold outbreak of the epidemic on January 26, and reduce the number of circulators with no response at all? How could he anticipate the outbreak based on SB Wu Zunyou's data and reject the people of Shanghai's request for the closure of the city? https://t.co/pcUucCriZD",sweetie_rt,,
2022-05-30 14:41:31 + 00:00,1531284676404338689,"@lEpiRN8V2fVwslQ Of course, they wanted Handang and Lan Bai to get behind the wheel. If there was no vaccine, they relied on North Korea to ignore human lives; if there were vaccine results, they relied on the North to waste people's money; during the time of national isolation, they relied on the people of the North to not get out of money; if the city wasn't closed down, they let the virus run everywhere. After screening, they relied on North Korea to deliberately conceal the epidemic, and bought a quick screen to buy the Beituli manufacturer. There were also opinions that it wasn't enough to buy quick screening in the north to manufacture and spread it on one's own.",f0346231972,,
2022-05-30 14:38:03 + 00:00,1531283805675266049,"@lvv2com why did you say Shanghai wasn't really unblocked? Let's first look at the definition of a green code. It turned out to be yellow only in areas with an epidemic; I don't know when it became yellow without nucleic acid. Has it recovered now? No. Second, the nucleic acid results before the closure of Shanghai were originally shown by CT values; are CT values shown now? CT values have not been shown since they were manipulated by the nucleic acid faction in order to conceal the falsification. It was still too early for the blockade to be lifted, the nucleic acid faction did not compromise at all, and the energy of the nucleic acid faction was still very strong; the purpose was to keep making nucleic acid",Forestlawtk,,
2022-05-30 14:22:39 + 00:00,1531279929186263040,"@bridgeduan why did you say Shanghai wasn't really unblocked? Let's first look at the definition of a green code. It turned out to be yellow only in areas with an epidemic; I don't know when it became yellow without nucleic acid. Has it recovered now? No. Second, the nucleic acid results before the closure of Shanghai were originally shown by CT values; are CT values shown now? CT values have not been shown since they were manipulated by the nucleic acid faction in order to conceal the falsification. It was still too early for the blockade to be lifted, the nucleic acid faction did not compromise at all, and the energy of the nucleic acid faction was still very strong; the purpose was to keep making nucleic acid",Forestlawtk,,
