Datetime,Tweet Id,text,usernames,Coordinates,Place
2020-04-07 19:28:25 + 00:00,1247607179370270723,"@LifetimeUSCN The first case appeared on November 17, the first
 case appeared
 December 30 Li Wenliang whistled the
 whistle on December 31, the
 Chinese side notified the WHO
 January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for multiple medical infections in early
 January January 14, the WHO inspected the Wuhan epidemic
 January 22, the WHO discussed the Wuhan epidemic
 January 23, Wuhan announced the closure of the city 
On January 24, the national foot ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020-04-07 19:27:59 + 00:00,1247607071715012609,"@goodrick8964 The first patient appeared on November 17
 December 30 Li Wenliang whistled the whistle on December
 31, the
 Chinese side notified the WHO January 3, the Chinese side notified the US
 January 3, Li Wenliang was reprimanded for
 multiple medical infections in early
 January January 14, the WHO inspected the
 Wuhan epidemic
 January 22, the WHO discussed the Wuhan epidemic
 January 23, Wuhan announced the closure of the city 
On January 24, the national foot ban began
 January 30, WHO called on countries to avoid imposing travel restrictions",gx0dt8yychkd2Dv,,
2020-04-07 19:08:10 + 00:00,1247602081013391363,One of the biggest terrible consequences of the closure of the city was that victims of domestic violence had nowhere to escape. A secondary human disaster of pneumonia in Wuhan. I've seen horrible reports of child abuse in the UK over the years 😥,Changchengwai,,
2020/4-07 18:54:32 + 00:00,1247598653675417600,"On April 7, the Hong Kong Economic Daily reported that the Chinese-American scientist Ho Da-yi, who invented cocktail therapy for AIDS (1996), advocates that the world imitate “Wuhan-style quarantine” cannot sit back and wait for a wave of the epidemic to occur. 
There is no point in maintaining social distance; imposing a strict “Wuhan style quarantine” — the closure of Wuhan. https://t.co/yIOmDh5oi6",Seas0116,,
2020-04-07 17:37:49 + 00:00,1247579343880163333,"They tried to shirk responsibility for the outbreak of the epidemic caused by the imposition of dictatorship and press control, and the subsequent hasty closure of the city that caused the human disaster, regardless of people's lives and deaths, and tried to portray themselves as benefactors of the entire Chinese Republic and the world. 
The “Chronicle of China Releasing Information on the COVID-19 Epidemic and Promoting International Cooperation in Epidemic Prevention and Control” published by Xinhua News Agency, the mouthpiece of the CCP administration, on April 6 is viewed by observers as the latest in the authorities' “throwing the pot” and glorifying themselves.",caichu88,,
2020-04-07 17:31:56 + 00:00,1247577866448932865,"@AllanSong9 @bbcchinese Maybe you forgot how in the early days of the epidemic, the world scolded China for violating human rights, scolded China for forcing people to wear masks, prohibited people from going out, and closed down the city. 
Now countries around the world are following suit, restricting outings
 to directly report grievances.
 When you mocked us with virtue,
 we suffered, and in turn we mocked you; it was only natural",WlKz4,,
2020-04-07 17:06:28 + 00:00,1247571455350435840,"@LastCandyFloss @I_marmot The Chinese government, especially local governments, did make big mistakes in the early stages of the epidemic, causing a hidden risk of the spread of the epidemic; but when China announced the closure of Wuhan to the world and WHO announced a health emergency, what was the attitude of Western countries? Over the course of more than a month, they didn't prevent the disease before it happened, and they didn't prepare sufficient epidemic prevention materials in advance. Instead, they moved their chairs to read Chinese jokes. As a result, they were busy and busy in the face of the epidemic",Tonyhu_ltf,,
2020-04-07 17:03:17 + 00:00,1247570653688946688,"@VOAChinese China took strong measures such as a “city closure” before the epidemic had more serious consequences. People were forced to stay in their own homes, tens of thousands of medical workers and volunteers participated in the fight against the epidemic, and Huoshenshan and Leishenshan hospitals were built in just ten days to ensure “everything is covered.” So we can prevent the spread of the coronavirus on a larger scale in China.",Anchiroringu,,
2020-04-07 16:19:38 + 00:00,1247559668425052162,"@SpokespersonCHN after telling a lie 100 times, do you believe it? Did the domestic media delete the news that Li Wenliang and 8 others caused rumors on January 3? Did you delete the news that Baibuting in Wuhan is still holding a 10,000 family feast on January 18? News of the closure of the city leaked on January 23. 200,000 to 300,000 Wenzhou people fled, followed by an outbreak in northern Italy (where people live in Wenzhou), followed by an outbreak in New York (the largest Italian settlement) in the US. Isn't this route obvious enough?",USFUXXALL,,
2020-04-07 16:17:56 + 00:00,1247559242971664384,"On January 23, 2020, at 10:00, Wuhan closed down
 at 0:00 on April 8, 2020.
 We have waited too long for the
 results of hundreds of thousands of medical staff in their dreams. 20 million people in Wuhan are eagerly awaiting this moment! 
The epidemic is not over, and there is still a long way to go, but as long as the country's 1.5 billion people are united and determined, there will be no enemies that cannot be overcome, and no hurdles that cannot be overcome! https://t.co/Z4N339j0e3",youwei001,,
2020-04-07 16:11:03 + 00:00,1247557509038002177,"@zhangjiachen123 @TommyGooodGuy that's right, it's the hospital's first-line administration. It seems like they supported the official media's coverage of the epidemic before the 1.21 lockdown, but later they were bitten by patients at the hospital. There's a lot of psychological stress at home. The recent remarks were quite aggressive and negative",DCMMCC,,
2020/4-07 15:39:00 + 00:00,1247549443760504833,Netizens directly attacked: Are Guangzhou police catching “whistleblowers” a major outbreak of the Guangzhou epidemic? (Video) | CCP Virus | Spread | Guangzhou | Outbreak | City Closure | Fangcain Hospital | Voice of Hope https://t.co/3nlTrg7SKi,lutong85141554,,
2020-04-07 15:06:05 + 00:00,1247541159682961408,"@sirrion1989 @bbcchinese has learned to represent it. This itself is a whole. Controlling the epidemic itself depends on decision-making power, and everything that should indicate the risk has been announced one after another after the closure of the city. Not wearing a mask and not doing social isolation in advance is absurd in itself. Moreover, the UK outbreaks were all in mid to late February. China and South Korea put in place protective measures and did not learn from them and went on mass immunization. It's ridiculous. I think they looked down on China and South Korea and learned from Japan's measures.",Johnsonskz,,
2020-04-07 14:42:13 + 00:00,1247535152550436867,"@jiayiqun If you don't believe the data released by China at the beginning of the epidemic, you don't believe it. The epidemic broke out in Wuhan and medical resources were scarce, you said that only countries with such poor medical conditions would occur. If China closed down the city, you said it was a big deal, and China required people to wear masks, you said they had no right to seal people's mouths. Since you don't trust China's data, and you think China's data is underreported, shouldn't it be better to prepare for the epidemic? What about the results? I didn't do anything myself; I just mocked China.",Wendy18631999,,
2020-04-07 14:41:22 + 00:00,1247534938900979717,"@albertzhang9999 @jml041 @maker42008759 @dw_chinese The development of the global epidemic into this ridiculous situation has followed suit and I have no brain to question China. If you are in science and technology, I sincerely recommend going to the hospital to see a neurologist. 
Move your butt a little and take a look. Faced with a cunning virus that is gentle on the surface but actually ferocious, is it easy for experts? Easy to make decisions? In the end, who made the decision to carry out the closure of the city with a population of 10 million that had never been seen before in history? 
It's no exaggeration to say that in the face of a global pandemic (the first wave), China's victory was an epic victory!",ACXXXCA,,
2020-04-07 14:02:04 + 00:00,1247525051244498949,"@nytchinese Before the closure of Wuhan, about 5 million people left Wuhan for Hubei and all over China, but apart from Wuhan, serious outbreaks occurred in any other city in China? So don't blame others for the humanitarian disaster caused by your own incompetence, procrastination, and wrong methods. I think you can sue the US government for murdering citizens.",li_jihong,,
2020-04-07 13:44:43 + 00:00,1247520683405357056,"@mui_zale @L78177354 @sskgcp20 @anan_610 @VOAChinese According to data released by China at the beginning of the epidemic, you don't believe it. The epidemic broke out in Wuhan and medical resources were scarce, you said that only countries with such poor medical conditions would occur. China closed down the city, you made a big fuss, and China required people to wear masks, you said that no one had the right to seal people's mouths. Since you don't trust China's data, and you think China's data is underreported, shouldn't it be better to prepare for the epidemic? What about the results? I didn't do anything myself; I just mocked China.",Wendy18631999,,
2020-04-07 13:36:20 + 00:00,1247518575503577089,"The Health Commission said that all 32 newly confirmed cases were immigrants from overseas. The number of imported cases from abroad a day ago was 38. Currently, the total number of imported confirmed cases is 983. 
Meanwhile, Wuhan, the capital of Hubei Province, has reported only 2 new confirmed cases in the past 14 days. The Wuhan authorities plan to allow citizens to leave Wuhan on Wednesday. This is the first time since the authorities closed down the city on January 23 to contain the spread of the epidemic.",caichu88,,
2020-04-07 13:31:46 + 00:00,1247517425433808897,"Two days ago, I said that when R0 is equal to or exceeds 2, it can infect 7 billion people around the world within a month without artificial blocking. However, as the intensity of the blockade varies, R0 may gradually shrink, even to the point where China currently has only double-digit growth. Therefore, blocking the R0 transmission chain is the key to controlling the epidemic. 
Similarly, using models to infer the early outbreak in Wuhan is reasonable, and to infer the situation after the closure of the city - it's nonsense to think that it would be false if it didn't reach the level of Italy",Dongmianxiong1,,
2020-04-07 13:21:45 + 00:00,1247514904115871746,"@FPzt9iQqDEH3ADj @bbcchinese If China's epidemic prevention system and lockdown were really effective enough to have zero cases in an instant, then there's no reason why the new virus would spread to the world,
 and China's cases are really that low, Shanghai, Beijing, China's high-ranking first-tier cities have no reason to close the city because the original epidemic prevention system has been improved enough to control the case mortality rate of 1.4 billions/80,000 people",VineLyn95,,
2020-04-07 13:06:57 + 00:00,1247511181230833665,"@jsoolk @CharlieDaniels hmm? If it's not serious, will we close down the city and the country? The data is updated every day, the news is broadcast every day, you don't read the news??? Did we say it was just influenza at the beginning of the epidemic?",TxFleon,,
2020-04-07 12:58:34 + 00:00,1247509071009202177,"The epidemic in Japan is more severe than in Taiwan, and the state of emergency announced by the Japanese Prime Minister today was not even closed down. Why should Taiwan die in a hurry?",dharmasena 2020,,
2020-04-07 12:53:25 + 00:00,1247507773870559232,"@fangshimin The Western media have not performed well during this epidemic. At the beginning, they said that China is exaggerating the epidemic, but recently they also said that China is concealing the number of cases. When China closes down cities, it violates human rights. For example, if China initially does the method Britain wants to use to get mass immunization, it will be attacked even more so that the epidemic continues to spread throughout the world. Neither is the left, nor the fundamental reason for the right is ideology and competition.",hzjhjzs,,
2020-04-07 12:07:07 + 00:00,1247496122735583233,"Princess Roosevelt left San Diego on January 17. There are documents saying that there were people with influenza during the voyage. The March beauty kit wasn't enough. Fu Xi said that Mei 50P was asymptomatic. On January 17, WH was not closed down yet. The Pentagon knew that the epidemic was getting worse, and ordered Princess Luo to visit Danang just to confuse people. Relying on Guam to let the aircraft on board leave the ship should have been recruited by the pilots. Now they are concealing the epidemic on board and putting pressure on the crew. The crew went on strike to the point where they wanted to use the military police. This was already a sign of mutiny and a serious crime.",Meixiong23,,
2020-04-07 12:06:51 + 00:00,1247496054037270533,"Pneumonia epidemic: Looking at city closures and traffic flows around the world from a chart - https://t.co/DP9XXotqpd

 Faced with the novel pneumonia epidemic, countries have successively introduced a number of measures to restrict public activities and prevent the spread of the virus. 

The outbreak first began in China and slowly spread to European and American countries. The number of confirmed cases in some places surpassed China. Many local governments... https://t.co/mBgxWuGdNU",PureLuxuryMag,,
2020-04-07 11:58:10 + 00:00,1247493869479968775,"@juntaowang @mrchangezhang this twofold playtime in Wuhan laughed at China's low level of hygiene when the epidemic was severe, and when I saw the closure of the city, it was human rights, don't panic, look, now it turns out that the infectivity of the virus cannot be ignored. If you despise the virus, the closure of the city is a reliable practice known so far that no major outbreaks have occurred in the country other than Wuhan, and the world is following your example and is still talking about blocking leprosy patients",songmingwu1,,
2020-04-07 11:54:15 + 00:00,1247492881947869185,"@aqwhusje8132 @xiruoye spread the epidemic all over the world and I'm also embarrassed to say that the epidemic prevention was done the best. When the bunch of cases that ran out before the city was first closed down were thrown away to other countries, it wasn't considered Chinese, so the Chinese people are amazing",Ch09725046Guo,,
2020-04-07 11:49:09 + 00:00,1247491599262572544,"@sun36439763 @ProfessorIQ @2049d1 @Saiki925 but it's not useful enough ah, you know? Compared to concealing the epidemic, Taiwan is better at preventing the epidemic. Currently, many of the confirmed cases are entering the country, all the problems are isolated at home, and there is no need to close the city to link sick people to people who are not sick",Chensha_Vfans,,
2020-04-07 11:44:34 + 00:00,1247490445237616640,"[New Zealand Outbreak] A Family Biking Up the Mountain and Beach, the Minister of Health was demoted by the Prime Minister by breaking the closure order | Standpoint Report | Standby News https://t.co/eEjeJdP24X",tckeung234,,
2020-04-07 11:43:49 + 00:00,1247490259283296256,"The fact that there are still asymptomatic new cases in Wuhan is probably the most noteworthy thing in terms of the epidemic. After all, Wuhan has been strictly closed down for more than two months. Whether this new case is due to the long incubation period, the intermediate host is still spreading, or there is still a big loophole in protection, it is very worrying.",Ediyiqian,,
2020-04-07 11:32:11 + 00:00,1247487331478765569,"#關鍵國際 Japan announced the first “state of emergency” in history in the evening, but compared to foreign countries, Japan's “state of emergency” made it impossible to “close the city”, and there were no penalties for violating related orders... 

#日本 #緊急事態 #安倍晉三 #東京 #武漢肺炎 #疫情 #防疫 https://t.co/AuClMPEsML",Thenewslens,,
2020-04-07 11:31:47 + 00:00,1247487230479826945,"@VirusFromChina You're right in your criticism. Not only you, but people in our country also criticized this aspect during the beginning of the epidemic. Therefore, the government closed down the city of Wuhan a long time ago. 
After the end of December, China declared the harm of the virus to the outside world. But most countries didn't respond and didn't pay attention at all. They think the virus is just a major flu, so there's nothing to be afraid of. Maybe they thought China was weak, so they were afraid and closed down the city. They are not afraid",Code50132298,,
2020-04-07 11:11:21 + 00:00,1247482087860396034,"The 76-day closure of Wuhan: A hiatus that's hard to draw - https://t.co/rf0l8Obowl
 When you think of the central Chinese city of Wuhan, the average person thinks of the nine provinces, beautiful cherry blossoms, exciting crayfish, and the Yellow Crane Tower. However, the novel coronavirus outbreak that has swept the world since the beginning of this year has tied Wuhan to the terms “pneumonia” and “virus.” 

From 1... https://t.co/Ii1el8npU4",Gongminyundong,,
2020-04-07 11:06:55 + 00:00,1247480971764494336,"@CNN is so damn disgusting. The white people's shaming cloth has already been removed, their annoyance turned black and white into anger. Didn't you necessarily question these numbers here when the closure of Wuhan began? Are you blaming others for not reminding you when the fire is on you? I'll tell you: the so-called democratic world of this pandemic seems like a joke to us, so there's no need to argue with the joke, just let them enjoy it",amilie_lan,,
2020-04-07 10:55:01 + 00:00,1247477978692374531,"Most of the various lockdowns, quarantine, and treatment measures for COVID-19 have suddenly appeared, and the average person is fearful in addition to not being able to do anything about it. Negative news has been widely removed, but information screening only makes it more difficult to trust that the government's measures are good, and they refuse to cooperate. Tough information manipulation and coercive measures have made it impossible for epidemic prevention measures to be carried out effectively, and the government only knows how to use tougher measures to control the epidemic and people. This vicious cycle is one of the causes of the Wuhan humanitarian disaster",the_unrecorded,,
2020-04-07 10:46:48 + 00:00,1247475908862042118,"@nytchinese The US government actually doesn't want to learn from China's lockdown and treat patients. After all, how can the world's largest country learn other people's epidemic prevention methods. The governor complains that the federal government doesn't help prevent and control, fake news! The captain proposed that all the staff disembark and be quarantined and fired! The nurse left her job because there wasn't enough medical equipment! These are all kinds of chaos revealed abroad because of this epidemic. Europe and America are all ostensibly harmonious and developed; in fact, they are all superficial; they can't help but be shocked",ch_lu_,,
2020-04-07 10:38:58 + 00:00,1247473938151555072,BBC News English - The pneumonia epidemic: Looking at city closures and traffic flows around the world from a chart https://t.co/e7MTGvadI2,YouKeping,,
2020-04-07 10:36:51 + 00:00,1247473406871654401,"@duyi25273601 @alxe_xu @galapcg I don't understand anywhere else, I'm not good to say anything, so I'll tell you about Japan. 
① National epidemic announcements must be officially approved. In Japan, all tests are managed uniformly by the government. If the government doesn't allow you to test you, you're not infected. 
② The Japanese government claims that 80% of infected people did not infect others; only a few actually spread the virus. 
③ Japan never thought of closing down the city; it just asked that there be no social activities as much as possible. 
Who should take back the pot?",oh_qb,,
2020-04-07 10:12:49 + 00:00,1247467357510832128,"--Humans are prohibited from going to the streets to prevent the spread of wild
 animals -- animals entering the city are not set up movie scenes, but are actually staged all over the world. The Wuhan pneumonia epidemic is heating up globally, countries have closed down cities one after another, imposed foot bans, human activity has declined, and the city has become a place for wild animals to eat and run. https://t.co/eXoerYrcj4",CNAVIDEO,,
2020-04-07 10:07:28 + 00:00,1247466011630149632,"@cccnk @bbcchinese it's been two months since China was closed down, how misleading is it? Which country is willing to close down its city? It's clear that I despise the epidemic and still brush the pot everywhere. It's extremely selfish and narrow-minded! I didn't do anything but read Chinese jokes for two months. Do you know it hurts when the heat hits your body? Let's eat the fruit you've made yourself. There are those who now shift responsibility to China, which is really a lack of responsibility. Two months! It's a waste in vain. Leaders like this should step down and apologize for their sins!",BLC87614,,
2020-04-07 09:32:47 + 00:00,1247457284633980930,"@UK_Donkey @ze28799 hahaha, in the case of the outbreak of the epidemic abroad, cities have been closed down and the country locked down, and you can even be concerned about whether the resumption of work went smoothly somewhere in the country. What kind of spirit is this? This is the spirit of lying on the ground and having to look up to see if the person running in front of you has a falling spirit",t8wjjjukhyobmrfj,,
2020-04-07 09:30:54 + 00:00,1247456807573807106,Wanna follow the example of China with the wind?! Wu Sihuai says there will be another third wave of the epidemic in 10 days?! Also mention 5 key points to prepare for the “closure of Taiwan”?! ｜Hosted by Xu Guiya｜ [Advance New Taiwan Full Version] 20200407... https://t.co/mZV1ohL4uO from @YouTube https://t.co/SQQpbOFrwu,Setlivenews,,
2020-04-07 09:16:30 + 00:00,1247453185591005185,"@nytchinese Wuhan was closed down on January 23, and the outbreak of the epidemic in the US was in March, so it doesn't feel logical. It makes sense that they came from Europe",seanShang5,,
2020-04-07 09:16:22 + 00:00,1247453149356609540,"[Japan epidemic: Abe issues a “state of emergency”]

 Abe issued a “state of emergency”. The applicable areas include Tokyo, Kanagawa, Chiba, and Saitama prefectures in the metropolitan area; Osaka Prefecture, Hyogo Prefecture in the Kansai region, and Fukuoka Prefecture in Kyushu. 

Abe made it clear that an “emergency” does not mean that a so-called “city closure” will be implemented like other countries. He hopes that citizens will maintain their self-discipline and calm: https://t.co/xJGYXNnNP8",Initium news,,
2020-04-07 08:42:43 + 00:00,1247444682985988096,"South China Morning Post: According to Tianyan data, 460,000 companies went out of business in China in the first quarter. At the same time, the number of newly registered enterprises has also dropped sharply. From January to March of this year, about 3.2 million newly registered companies were established, down 29% from the first quarter of last year; the pandemic has caused continuous damage to domestic demand. Furthermore, the external impact that will be brought about by the economic closure of other countries is spreading rapidly.",Stupidwz,,
2020-04-07 08:40:24 + 00:00,1247444101093396481,"@VOAChinese Even if they blame each other, the US instigated it first. In many disputes between China and the US, the US provoked the incident first, and China was forced to deal with it. The US epidemic has made every effort to politicize the epidemic, and China continues to help other countries fight the epidemic... China's city closure is a violation of human rights. Western countries' city closures sacrificed the overall economic preservation situation and played with China's double standards for decades",Faker14777779,,
2020-04-07 08:31:56 + 00:00,1247441971360104448,"[#武漢將全面解封， #無症狀感染者成防控新重點！】 
The epidemic in the mainland is gradually easing. Wuhan, the region hardest hit by the epidemic, which has been closed for more than two and a half months, will be completely unblocked in the early hours of Wednesday morning (April 8), and communication with foreign countries will resume in an orderly manner. Wang Zhonglin, secretary of the Wuhan Municipal Party Committee, acknowledged that at the same time that foreign traffic restrictions were lifted, it was necessary to strictly prevent the spread of the epidemic. https://t.co/fIMJPEgkp0",Tong_Shuo,,
2020-04-07 08:23:00 + 00:00,1247439723196321792,"@DadiyaNour @HenriKenhmann @Aln54Dz You need to know that China began to close down cities a long time ago. Neighborhoods and villages all have special personnel to ban population movements, and everyone wears masks. Places with severe epidemics in Wuhan are investigated and measured every day. More than 40,000 medical workers have been dispatched to Hubei to assist in treatment, and many temporary isolation hospitals have been built in a short period of time. China has used many methods that damage the economy to contain the spread of the epidemic. We need to understand the facts.",Liuyueyuxia,,
2020-04-07 08:02:11 + 00:00,1247434482598248449,"The Chinese writer Fang Fang is suspected to have died of heart disease caused by online violence by a critic of the China Prison Service Network. He wrote “The Diary of the Wuhan Pneumonia Closure” to uncover the dark inside story of China's egg manufacturing factories during the Wuhan epidemic
 #武漢肺炎 #方方日记 #方方去世 https://t.co/NjDtPjYrGp",arwdu9ixvoakiv7,,
