conversation_id,created_at,author_id,text,Id,edit_history_tweet_ids,author_name,original_text
1.641654215071203e+18,2023-03-31T04:10:39 .000Z,1.217841519174005e+18,"RT @5xyxh: Heaven and Earth No. 3: Clown character swap_x000D_
 Before the closure of Wuhan, Zhong Nanshan was Zhong Nanshan and Hu Xijin was Hu Xijin. As the epidemic spread step by step, Zhong Nanshan became more and more like Hu Xijin, and Hu Xijin became more and more like Zhong Nanshan. The world is exciting, I want to keep watching. https://t.co/fA6TP70DCg",1.641654215071203e+18,['1641654215071203328'],Sunrisefromhere,"Heaven and Earth 3: Clown character swap_x000D_
 Before the closure of Wuhan, Zhong Nanshan was Zhong Nanshan, and Hu Xijin was Hu Xijin. As the epidemic spread step by step, Zhong Nanshan became more and more like Hu Xijin, and Hu Xijin became more and more like Zhong Nanshan. The world is wonderful. I want to keep watching. https://t.co/fA6TP70DCg"
1.641649060234011e+18,2023-03-31T03:50:10 .000Z,1.167746051396104e+18,"RT @dajiyuan: During the COVID-19 pandemic in Canada, the various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.641649060234011e+18,['1641649060234010624'],TomLi47965683,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS"
1.641644006416196e+18,2023-03-31T03:30:06 .000Z,56572394.0,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS",1.641644006416196e+18,['1641644006416195588'],Dajiyuan,"During the COVID-19 pandemic in Canada, various lockdown restrictions were either absurd or extremely inhumane. In March 2021, the epidemic abated. After primary and secondary schools in Ontario began to partially open, parents began to reflect on an absurd and inhumane epidemic prevention measure. _x000D_
 _x000D_
 https://t.co/7Nipz9pUdS"
1.641618186922602e+18,2023-03-31T01:47:30 .000Z,1.519501098523972e+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641618186922602e+18,['1641618186922602499'],AlexLi63636557,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.641611565387612e+18,2023-03-31T01:21:11 .000Z,7312502.0,"RT @initiumnews: “Xu Qiu still thinks it's the best city for living in China. But she also realized that no matter how good Shanghai is, it's just “Titanic's first class.” _x000D_
 _x000D_
 When the sound of April sounded again, Shanghai was no longer the same as when it closed down last year. Now the entire city is reviving, and the traces of the epidemic have been erased clean and clean. https://t.co/qgu7...",1.641611565387612e+18,['1641611565387612160'],hello_stanley,"“Xu Qiu still feels that it is the best and most suitable city for living in China. But she also realized that no matter how good Shanghai is, it's just “Titanic's first class.” _x000D_
 _x000D_
 When the sound of April sounded again, Shanghai was no longer the same as when it closed down last year. Now the entire city is reviving, and the traces of the epidemic have been erased clean and clean. https://t.co/qgu7..."
1.641610017425211e+18,2023-03-31T01:15:02 .000Z,7.026555662005043e+17,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641610017425211e+18,['1641610017425211393'],kciv 1024,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.641369037996442e+18,2023-03-31T00:43:11 .000Z,1.093398623923007e+18,"@Fmds__ @RFA_Chinese is not concealing the epidemic, there is no need for a city closure at all. Other countries will not hide the outbreak. Furthermore, international flights will not continue to be opened after the closure of Wuhan, deliberately causing the spread of the virus. Nor will it attack countries that have taken precautionary measures, such as Australia and the United States, to mislead the international community. Let alone conceal the original data until now, refusing to cooperate with the WHO international community to investigate the origin. All data and timelines can be searched and recovered, ignoring the facts to cover up.",1.641602003154653e+18,['1641602003154653184'],Bravo74624407,"@Fmds__ @RFA_Chinese is not concealing the epidemic, there is no need for a city closure at all. Other countries will not hide the outbreak. Furthermore, international flights will not continue to be opened after the closure of Wuhan, deliberately causing the spread of the virus. Nor will it attack countries that have taken precautionary measures, such as Australia and the United States, to mislead the international community. Let alone conceal the original data until now, refusing to cooperate with the WHO international community to investigate the origin. All data and timelines can be searched and recovered, ignoring the facts to cover up."
1.641600870231187e+18,2023-03-31T00:38:41 .000Z,1.539454237653889e+18,"RT @lidangzzz: What erased their memories of these three years the fastest were ordinary people at the bottom, who didn't even remember the pandemic grabbing food, the closure of the city, or stealing fun — the next second they plunged directly into the Ohio leak, Wang Xiaofei's Big S, and plum sauce; _x000D_
,
 followed by small and medium-sized business owners. After three years, they immediately took out loans to open restaurants, teach and train, engage in e-commerce, invest in milk tea, and meet with provincial and city leaders, promising to welcome business, revitalize the economy, big...",1.641600870231187e+18,['1641600870231187457'],Lisulian 2018,"What erased their memories of these three years the fastest were ordinary people at the bottom, who didn't even remember the pandemic grabbing food, closing the city, and stealing fun — the next second they plunged directly into the Ohio leak, Wang Xiaofei's Big S, Wu Mei Zi sauce, etc.;
 _x000D_,
 followed by small and medium-sized business owners. After three years, they immediately took out loans to open restaurants, teach and train, engage in e-commerce, invest in milk tea, and meet with provincial and city leaders, promising to welcome business, revitalize the economy, big..."
1.641557043730596e+18,2023-03-30T21:44:32 .000Z,9.874741947440128e+17,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641557043730596e+18,['1641557043730595840'],Boccaroteapot,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.641547740051112e+18,2023-03-30T21:07:34 .000Z,1.111318191962288e+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641547740051112e+18,['1641547740051111937'],fdffd1111,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.641546850321703e+18,2023-03-30T21:04:02 .000Z,1.537503425159643e+18,"RT @lidangzzz: What erased their memories of these three years the fastest were ordinary people at the bottom, who didn't even remember the pandemic grabbing food, the closure of the city, or stealing fun — the next second they plunged directly into the Ohio leak, Wang Xiaofei's Big S, and plum sauce; _x000D_
,
 followed by small and medium-sized business owners. After three years, they immediately took out loans to open restaurants, teach and train, engage in e-commerce, invest in milk tea, and meet with provincial and city leaders, promising to welcome business, revitalize the economy, big...",1.641546850321703e+18,['1641546850321702912'],likunxie1,"What erased their memories of these three years the fastest were ordinary people at the bottom, who didn't even remember the pandemic grabbing food, closing the city, and stealing fun — the next second they plunged directly into the Ohio leak, Wang Xiaofei's Big S, Wu Mei Zi sauce, etc.;
 _x000D_,
 followed by small and medium-sized business owners. After three years, they immediately took out loans to open restaurants, teach and train, engage in e-commerce, invest in milk tea, and meet with provincial and city leaders, promising to welcome business, revitalize the economy, big..."
1.641541987978363e+18,2023-03-30T20:44:42 .000Z,1.246151954587419e+18,"RT @Amberle68664577: The CCP is in a hurry to decouple and will close its academic database to foreign countries on April 1. Recently, it was reported that vaccination and lockdown data during the pandemic is also being systematically deleted. Why is that? Are you afraid of anything? 🧐 _x000D_
 _x000D_
 [Further decoupling? Why did the CCP's academic database close its doors to foreign scholars _x000D_
 _x000D_ The
 CCP's largest academic database recently went abroad with data...",1.641541987978363e+18,['1641541987978362881'],e9p34zsubde3kjb,"The CCP is in a hurry to decouple and will close its academic database to foreign countries on April 1. Recently, it was reported that vaccination and lockdown data during the pandemic is also being systematically deleted. Why is that? Are you afraid of anything? 🧐 _x000D_
 _x000D_
 [Further decoupling? Why did the CCP's academic database close its doors to foreign scholars _x000D_
 _x000D_ The
 CCP's largest academic database recently went abroad with data..."
1.641535632572047e+18,2023-03-30T20:19:27 .000Z,1.499736887476748e+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641535632572047e+18,['1641535632572047361'],ArtistSuper3,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.641204476575883e+18,2023-03-30T19:42:52 .000Z,1.466809776189284e+18,"@monk0620 @weakweek2 Protestant Trump didn't convert to Eastern Orthodoxy or Catholicism; this one can be proven. Josh Alexsander, Pastor Artur Pawlowski, Pastor Derek Reimer, Pastor Tim Stephen, and others who were arrested in Canada in protest against the closure of the city due to the epidemic are all Protestants.",1.64152642313454e+18,['1641526423134539777'],LexieBergen,"@monk0620 @weakweek2 Protestant Trump didn't convert to Eastern Orthodoxy or Catholicism; this one can be proven. Josh Alexsander, Pastor Artur Pawlowski, Pastor Derek Reimer, Pastor Tim Stephen, and others who were arrested in Canada in protest against the closure of the city due to the epidemic are all Protestants."
1.641507804409213e+18,2023-03-30T18:28:52 .000Z,1.336730761186173e+18,"The CCP is in a hurry to decouple and will close its academic database to foreign countries on April 1. Recently, it was reported that vaccination and lockdown data during the pandemic is also being systematically deleted. Why is that? Are you afraid of anything? 🧐 _x000D_
 _x000D_
 [Further decoupling? Why did the CCP's academic database close its doors
 to foreign academics_x000D_
 _x000D_ The CCP's largest academic database recently went abroad with new data... _x000D_
 https://t.co/Y5SYP5urwV _x000D_
 https://t.co/mgCSWzw8u9",1.641507804409213e+18,['1641507804409212929'],Amberle68664577,"The CCP is in a hurry to decouple and will close its academic database to foreign countries on April 1. Recently, it was reported that vaccination and lockdown data during the pandemic is also being systematically deleted. Why is that? Are you afraid of anything? 🧐 _x000D_
 _x000D_
 [Further decoupling? Why did the CCP's academic database close its doors
 to foreign academics_x000D_
 _x000D_ The CCP's largest academic database recently went abroad with new data... _x000D_
 https://t.co/Y5SYP5urwV _x000D_
 https://t.co/mgCSWzw8u9"
1.641498620477456e+18,2023-03-30T17:52:23 .000Z,7.916765474763039e+17,"Did Ma, an elderly person with dementia, forget that before the closure of Wuhan that year, 5 million people escaped from a city with a population of 14 million to the world, causing the spread of the epidemic and the death of 7 million people in 3 years? Your horse really slapped the horse's fart and licked it all the way to Lou Ma's foot; it's worthy of the surname Ma. https://t.co/OPqCVI6jzC",1.641498620477456e+18,['1641498620477456385'],lovetw_taiwan,"Did Ma, an elderly person with dementia, forget that before the closure of Wuhan that year, 5 million people escaped from a city with a population of 14 million to the world, causing the spread of the epidemic and the death of 7 million people in 3 years? Your horse really slapped the horse's fart and licked it all the way to Lou Ma's foot; it's worthy of the surname Ma. https://t.co/OPqCVI6jzC"
1.641477174187246e+18,2023-03-30T16:43:40 .000Z,9.758154682704077e+17,"📄 The National Health Commission's confidential 20-year documents revealed in this episode _x000D_ “Notice on Preparing Emergency Preparedness Guidelines for the Operation of “City Closures
” after the Large-scale Epidemic in Major Cities” https://t.co/lT5QSLD5Tl",1.641481327907144e+18,['1641481327907143681'],89 taobing,"📄 The National Health Commission's confidential 20-year documents revealed in this episode _x000D_ “Notice on Preparing Emergency Preparedness Guidelines for the Operation of “City Closures
” after the Large-scale Epidemic in Major Cities” https://t.co/lT5QSLD5Tl"
1.64147382273717e+18,2023-03-30T16:13:51 .000Z,1.602863020438585e+18,"RT @epochtimesau: The collapse of Chinese companies has caused a trend of unemployment falling into the streets and is also being charged_x000D_
 _x000D_ the
 CCP maintained a zero-lockdown during the three-year epidemic period, reinventing the Chinese economy. Many companies have gone out of business. The number of unemployed people in major cities has increased dramatically, more and more people are living on the streets, and it has been reported that “sleeping bridge fees” have even been charged in some places. https://t.co/po81geyKFE",1.64147382273717e+18,['1641473822737170432'],HSabrinle,"The collapse of Chinese enterprises caused the trend of unemployment to fall to the streets and was also charged_x000D_
 _x000D_ _x000D_ the
 CCP maintained a zero-lockdown during the three-year epidemic period, revived the Chinese economy. Many companies went out of business. The number of unemployed people in major cities increased dramatically, more and more people were living on the streets, and it was even reported in some places that “sleeping bridge fees” were being charged. https://t.co/po81geyKFE"
1.638763913075651e+18,2023-03-30T15:55:38 .000Z,1.472807698135585e+18,"@lisibenchuntian It's really not. When Shanghai closed down last year, North Korea also broke out of the epidemic, but they didn't seal it. They also made a special brochure promoting COVID-19 is just the flu. If everyone wears a mask to ventilate frequently, we've been blocked like idiots for over two months.",1.641469238270628e+18,['1641469238270627841'],Enhance_Yin,"@lisibenchuntian It's really not. When Shanghai closed down last year, North Korea also broke out of the epidemic, but they didn't seal it. They also made a special brochure promoting COVID-19 is just the flu. If everyone wears a mask to ventilate frequently, we've been blocked like idiots for over two months."
1.641464725002134e+18,2023-03-30T15:37:42 .000Z,1.23360115930008e+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.641464725002134e+18,['1641464725002133508'],Banxia04169556,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.64145327406594e+18,2023-03-30T14:52:11 .000Z,4064434513.0,"RT @epochtimesau: The collapse of Chinese companies has caused a trend of unemployment falling into the streets and is also being charged_x000D_
 _x000D_ the
 CCP maintained a zero-lockdown during the three-year epidemic period, reinventing the Chinese economy. Many companies have gone out of business. The number of unemployed people in major cities has increased dramatically, more and more people are living on the streets, and it has been reported that “sleeping bridge fees” have even been charged in some places. https://t.co/po81geyKFE",1.64145327406594e+18,['1641453274065940485'],allen_lien_,"The collapse of Chinese enterprises caused the trend of unemployment to fall to the streets and was also charged_x000D_
 _x000D_ _x000D_ the
 CCP maintained a zero-lockdown during the three-year epidemic period, revived the Chinese economy. Many companies went out of business. The number of unemployed people in major cities increased dramatically, more and more people were living on the streets, and it was even reported in some places that “sleeping bridge fees” were being charged. https://t.co/po81geyKFE"
1.641447812750791e+18,2023-03-30T14:47:09 .000Z,1.547160546947936e+18,"@jack123what It's been 21 years _x000D_ the
 epidemic was relatively severe, was the city closed down, there was still nucleic acid or something _x000D_ at the
 time it was called I saw x",1.641452005100261e+18,['1641452005100261379'],61yhgtyf_87,"@jack123what It's been 21 years _x000D_ the
 epidemic was relatively severe, was the city closed down, there was still nucleic acid or something _x000D_ at the
 time it was called I saw x"
1.641449669317517e+18,2023-03-30T14:37:52 .000Z,1.268202634541797e+18,"The consequences of Apple's withdrawal are serious, and Foxconn is evacuating China on a large scale: Zhengzhou, Chengdu, Shenzhen, etc. Foxconn is Apple's foundry: the mainland produces and exports to the US, and the world creates a lot of foreign exchange+taxes and employment for China and G - Guo Taiming said: Who is afraid of who? The withdrawal of foreign companies from China began the 2018 trade war, and the pandemic lockdown policy forced the world to restructure the industry-supply chain... The Russian-Ukrainian war and the bad relations between China and the US caused order fears to shift: the economic consequences were serious. https://t.co/N9OghsKBAw",1.641449669317517e+18,['1641449669317517315'],Mikeyehui,"The consequences of Apple's withdrawal are serious, and Foxconn is evacuating China on a large scale: Zhengzhou, Chengdu, Shenzhen, etc. Foxconn is Apple's foundry: the mainland produces and exports to the US, and the world creates a lot of foreign exchange+taxes and employment for China and G - Guo Taiming said: Who is afraid of who? The withdrawal of foreign companies from China began the 2018 trade war, and the pandemic lockdown policy forced the world to restructure the industry-supply chain... The Russian-Ukrainian war and the bad relations between China and the US caused order fears to shift: the economic consequences were serious. https://t.co/N9OghsKBAw"
1.641445598770647e+18,2023-03-30T14:21:41 .000Z,1.598576248094982e+18,"RT @lidangzzz: What erased their memories of these three years the fastest were ordinary people at the bottom, who didn't even remember the pandemic grabbing food, the closure of the city, or stealing fun — the next second they plunged directly into the Ohio leak, Wang Xiaofei's Big S, and plum sauce; _x000D_
,
 followed by small and medium-sized business owners. After three years, they immediately took out loans to open restaurants, teach and train, engage in e-commerce, invest in milk tea, and meet with provincial and city leaders, promising to welcome business, revitalize the economy, big...",1.641445598770647e+18,['1641445598770647048'],gzhuxiokntinch1,"What erased their memories of these three years the fastest were ordinary people at the bottom, who didn't even remember the pandemic grabbing food, closing the city, and stealing fun — the next second they plunged directly into the Ohio leak, Wang Xiaofei's Big S, Wu Mei Zi sauce, etc.;
 _x000D_,
 followed by small and medium-sized business owners. After three years, they immediately took out loans to open restaurants, teach and train, engage in e-commerce, invest in milk tea, and meet with provincial and city leaders, promising to welcome business, revitalize the economy, big..."
1.64142492010113e+18,2023-03-30T12:59:31 .000Z,1.581895822429413e+18,"RT @initiumnews: [How did the closure of Shanghai come about after two months of living for 25 million people?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past...",1.64142492010113e+18,['1641424920101130241'],TG_9527,"[How did the closure of Shanghai happen after 25 million people lived in two months?] https://t.co/u6DMaAYPEb _x000D_
 _x000D_
 2022/3/28, Shanghai closed down. Train stations and airports have drastically reduced the number of flights and logistics problems. The lives of 25 million people were suspended for two months. Today, the blockade line and blue fence that cut human life in the past..."
1.641419819093221e+18,2023-03-30T12:39:15 .000Z,1.291340575732531e+18,"RT @epochtimesau: The collapse of Chinese companies has caused a trend of unemployment falling into the streets and is also being charged_x000D_
 _x000D_ the
 CCP maintained a zero-lockdown during the three-year epidemic period, reinventing the Chinese economy. Many companies have gone out of business. The number of unemployed people in major cities has increased dramatically, more and more people are living on the streets, and it has been reported that “sleeping bridge fees” have even been charged in some places. https://t.co/po81geyKFE",1.641419819093221e+18,['1641419819093221377'],SCQUYMQ53XLSKYE,"The collapse of Chinese enterprises caused the trend of unemployment to fall to the streets and was also charged_x000D_
 _x000D_ _x000D_ the
 CCP maintained a zero-lockdown during the three-year epidemic period, revived the Chinese economy. Many companies went out of business. The number of unemployed people in major cities increased dramatically, more and more people were living on the streets, and it was even reported in some places that “sleeping bridge fees” were being charged. https://t.co/po81geyKFE"
