,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
20,20,1.0,0.661,"year, last, full, time, new, again, festival, pandemic, go, spring","['statistic', 'epidemic', 'last', 'year', 'march', 'year', 'see', 'penny', 'turn']"
21,21,2.0,0.969,"epidemic, pandemic, go, full, people, time, day, many, also, first","['come', 'pandemic', 'patiently', 'up', 'hour', 'eat', 'morning', 'make', 'reservation', 'museum', 'so', 'comfortable', 'temperature', 'just', 'right', 'delicious', 'huge', 'cheap', 'hold', 'eat', 'few', 'pack', 'bunch', 'dry_food', 'man', 'way', 'amazed', 'big', 'side', 'road', 'little', 'yellow', 'little', 'white', 'so', 'full', 'round', 'tightly', 'together', 'full', 'story']"
22,22,2.0,0.9592,"epidemic, pandemic, go, full, people, time, day, many, also, first","['make', 'real', 'rumor', 'unequivocally', 'say', 'say', 'say', 'video', 'haven', 'say', 'few', 'day', 'ago', 'block', 'influencer', 'seat', 'prevent', 'else', 'point', 'go', 'there', 'year', 'ago', 'one', 'at', 'all', 'epidemic', 'time', 'whole', 'process']"
23,23,1.0,0.6208,"year, last, full, time, new, again, festival, pandemic, go, spring","['bed', 'service', 'popular', 'actress', 'year', 'old', 'popular', 'actress', 'naked', 'engage', 'sex', 'trade', 'police', 'hotel', 'tearfully', 'say', 'fault', 'epidemic', 'impact', 'epidemic', 'be', 'action', 'personal', 'serious', 'crisis', 'still', 'debt', 'choice', 'take', 'order', 'pay', 'full', 'story']"
24,24,2.0,0.9417,"epidemic, pandemic, go, full, people, time, day, many, also, first","['leave', 'library', 'go', 'eat', 'snail', 'powder', 'now', 'back', 'dorm', 'wash', 'bed', 'really', 'comfortable', 'abhorrent', 'epidemic', 'steal', 'university', 'campus']"
25,25,2.0,0.821,"epidemic, pandemic, go, full, people, time, day, many, also, first","['commemorate', 'first', 'trip', 'pandemic']"
26,26,2.0,0.5867,"epidemic, pandemic, go, full, people, time, day, many, also, first","['big', 'screen', 'year', 'go', 'school', 'pandemic', 'last', 'year', 'check']"
27,27,2.0,0.9026,"epidemic, pandemic, go, full, people, time, day, many, also, first","['good', 'bad', 'live', 'college', 'town', 'usually', 'see', 'lot', 'think', 'time', 'go', 'school', 'young', 'face', 'very', 'lively', 'back', 'forth', 'good', 'pandemic', 'college', 'increasingly', 'go', 'especially', 'night', 'peak', 'car', 'use', 'make', 'bit', 'difficult', 'more', 'expensive', 'usual', 'take', 'taxi', 'thought', 'go', 'shop', 'first', 'then', 'go', 'eat', 'haven', 'out', 'yet', 'taxi', 'full', 'story']"
28,28,2.0,0.7937,"epidemic, pandemic, go, full, people, time, day, many, also, first","['first', 'day', 'age', 'spend', 'time', 'haven', 'see', 'long', 'time', 'past', 'pandemic']"
29,29,2.0,0.7751,"epidemic, pandemic, go, full, people, time, day, many, also, first","['really', 'happy', 'today', 'feel', 'steal', 'pandemic', 'satisfied', 'here']"
30,30,2.0,0.8497,"epidemic, pandemic, go, full, people, time, day, many, also, first","['forget', 'long', 'son', 'basketball', 'game', 'pandemic', 'lack', 'activity', 'also', 'weight', 'even', 'know', 'run']"
31,31,3.0,0.6119,"text, full, covid, government, staff, begin, control, provide, prevention, epidemic","['essential', 'difference', 'medium', 'backlash', 'last', 'year', 'last', 'year', 'epidemic', 'only', 'recovery', 'plight', 'reverse', 'very', 'poor', 'first', 'batch', 'cultural', 'medium', 'come', 'soil', 'immediately', 'on', 'momentum', 'awakening', 'begin', 'time', 'actually', 'follow', 'logic', 'recovery', 'liberalization', 'furthermore', 'emergence', 'unearth', 'currently', 'path', 'reduce', 'increase', 'efficiency', 'full', 'text']"
32,32,2.0,0.952,"epidemic, pandemic, go, full, people, time, day, many, also, first","['first', 'flight', 'successfully', 'international_airport', 'mark', 'successful', 'resumption', 'route', 'lapse', 'day', 'first', 'civil', 'airliner', 'resume', 'epidemic', 'round', 'trip', 'flight', 'week', 'route', 'reporter']"
33,33,2.0,0.7813,"epidemic, pandemic, go, full, people, time, day, many, also, first","['epidemic', 'influenza', 'finally', 'mix', 'chat', 'spring', 'breeze', 'talk', 'recite', 'old']"
34,34,2.0,0.7385,"epidemic, pandemic, go, full, people, time, day, many, also, first","['eat', 'sour', 'fish', 'courtyard', 'enjoy', 'silver', 'mountain', 'last', 'time', 'sour', 'fish', 'eat', 'epidemic', 'go', 'new', 'place', 'red', 'brick', 'bungalow', 'yard', 'just', 'right', 'eat', 'go', 'beautiful', 'just', 'mountain', 'bit', 'steep', 'bit', 'high', 'so', 'climb', 'middle', 'mountainside', 'go', 'top', 'next', 'time']"
35,35,2.0,0.4465,"epidemic, pandemic, go, full, people, time, day, many, also, first","['power', 'communication', 'same', 'time', 'time', 'epidemic', 'population', 'location', 'famous', 'scenic', 'traffic', 'gathering', 'people', 'own', 'help', 'cultural', 'tourism', 'really', 'lively', 'very', 'nice']"
36,36,2.0,0.892,"epidemic, pandemic, go, full, people, time, day, many, also, first","['thank', 'take', 'task', 'walk', 'pregnant', 'epidemic', 'be', 'car', 'feel', 'radius', 'life', 'expand', 'spring', 'also', 'see', 'lot', 'scenery', 'as', 'many', 'past', 'day', 'so', 'now', 'weight', 'control', 'good', 'next', 'gradually', 'enter', 'summer', 'hope', 'successfully', 'implement', 'swimming', 'plan']"
37,37,1.0,0.7571,"year, last, full, time, new, again, festival, pandemic, go, spring","['make', 'clean', 'inventory', 'affect', 'year', 'epidemic', 'often', 'stock', 'lot', 'home', 'stuff', 'corner', 'expire', 'recently', 'make', 'use', 'have', 'home', 'control', 'new', 'reduce', 'waste', 'try', 'restrain', 'desire', 'buy', 'clean', 'memory', 'organize', 'frequently', 'base', 'often', 'sort', 'out', 'forget', 'avoid', 'full', 'text']"
38,38,1.0,0.5226,"year, last, full, time, new, again, festival, pandemic, go, spring","['sense', 'urgency', 'experience', 'warmth', 'sweater', 'winter', 'need', 'rely', 'old', 'people', 'confide', 'same', 'time', 'hear', 'want', 'see', 'return', 'home', 'tired', 'feel', 'worth', 'people', 'still', 'around', 'time', 'finally', 'go', 'back', 'home', 'reassurance', 'pill', 'pandemic', 'finally', 'go', 'back', 'full', 'story']"
39,39,2.0,0.7845,"epidemic, pandemic, go, full, people, time, day, many, also, first","['empty', 'outbreak', 'epidemic']"
40,40,2.0,0.8662,"epidemic, pandemic, go, full, people, time, day, many, also, first","['high', 'school', 'use', 'like', 'boy', 'probably', 'start', 'next', 'semester', 'sophomore', 'year', 'high', 'school', 'buy', 'breakfast', 'day', 'time', 'watch', 'laugh', 'always', 'warm', 'stream', 'happiness', 'heart', 'however', 'epidemic', 'last', 'year', 'infect', 'covid', 'class', 'unfortunately', 'infect', 'get', 'back', 'school', 'female', 'classmate', 'say', 'boy', 'course', 'course', 'full', 'article']"
41,41,0.0,0.5904,"text, hospital, love, front, number, high, full, official, yuan, package","['security', 'classify', 'abnormal', 'operation', 'company', 'ampere', 'recently', 'announcement', 'begin', 'first', 'round', 'refund', 'process', 'also', 'see', 'announcement', 'company', 'ampere', 'company', 'unable', 'operate', 'shut', 'series', 'such_a', 'covid', 'pandemic', 'order', 'reduce', 'as', 'much', 'possible', 'enterprise', 'now', 'reach', 'agreement', 'third', 'party', 'order', 'fund', 'arrive', 'safely', 'full', 'text']"
42,42,2.0,0.8124,"epidemic, pandemic, go, full, people, time, day, many, also, first","['佛山公里徒步', 'finally', 'pandemic', 'year', 'personnel', 'transformation', 'line', 'again', 'fortunately', 'effect', 'second', 'signature', 'cool', 'light', 'rain', 'day', 'amazing', 'century', 'stress', 'free', 'professional', 'so', 'powerful', 'today', 'also', 'special', 'day', 'always', 'old', 'brother', 'astonishing', 'moment', 'sing', 'full', 'story']"
43,43,2.0,0.9681,"epidemic, pandemic, go, full, people, time, day, many, also, first","['so', 'tired', 'so', 'happy', 'today', 'finally', 'first', 'fun', 'tour', 'epidemic', 'over', 'chat', 'say', 'group', 'so', 'kind', 'share', 'give', 'small', 'win', 'buy', 'one', 'more', 'expensive', 'own', 'ice', 'cream', 'talk', 'lot', 'hug', 'sleep', 'arm', 'hope', 'be', 'happy', 'little', 'long']"
44,44,2.0,0.5051,"epidemic, pandemic, go, full, people, time, day, many, also, first","['just', 'watch', 'fan', 'variety', 'show', 'remember', 'spring', 'flower', 'send', 'last', 'year', 'pandemic', 'open', 'recording', 'quota', 'annoying']"
45,45,2.0,0.6026,"epidemic, pandemic, go, full, people, time, day, many, also, first","['epidemic', 'few', 'finally', 'go', 'see', 'grandpa', 'again', 'live', 'own', 'small', 'correspond', 'house', 'see', 'magic', 'nose', 'still', 'sore', 'time', 'away', 'lot', 'never', 'lose', 'sight', 'come', 'nowhere', 'chance', 'last', 'moment', 'special', 'feeling', 'specific', 'day', 'worship', 'people', 'here', 'full', 'text']"
46,46,2.0,0.5136,"epidemic, pandemic, go, full, people, time, day, many, also, first","['feeling', 'wait', 'rainy', 'day', 'end', 'feeling', 'wait', 'epidemic', 'end']"
47,47,2.0,0.5771,"epidemic, pandemic, go, full, people, time, day, many, also, first","['very', 'see', 'sacrifice', 'really', 'easy', 'chance', 'pay', 'tribute', 'grandfather', 'old', 'work', 'hard', 'moment', 'many', 'please', 'very', 'lucky', 'able', 'sweep', 'rest', 'year', 'containment', 'epidemic', 'many', 'people', 'give', 'treasure', 'pray', 'bless', 'whole', 'family', 'future', 'go', 'sweep', 'also', 'think', 'development', 'year', 'full', 'text']"
48,48,1.0,0.8628,"year, last, full, time, new, again, festival, pandemic, go, spring","['city', 'coffee', 'fourth', 'north', 'coffee', 'carry', 'pack', 'freshly', 'meet', 'leader', 'see', 'teacher', 'friend', 'half', 'year', 'originally', 'eat', 'pizza', 'pandemic', 'last', 'year', 'open', 'pandemic', 'last', 'year', 'store', 'divide', 'upper', 'low', 'upper', 'upper', 'second', 'green', 'branch', 'coffee', 'full', 'spring', 'choose', 'mocha', 'chocolate', 'freshly', 'bake', 'store', 'full', 'text']"
49,49,2.0,0.8832,"epidemic, pandemic, go, full, people, time, day, many, also, first","['currently', 'education', 'industry', 'rectify', 'implementation', 'double', 'reduction', 'policy', 'ongoing', 'epidemic', 'ban', 'become', 'last', 'straw', 'education', 'fall', 'however', 'education', 'explode', 'pressure', 'relevant', 'educational', 'also', 'actively', 'however', 'time', 'employee', 'salary', 'finally', 'eagerness', 'wait', 'full', 'text']"
50,50,3.0,0.6187,"text, full, covid, government, staff, begin, control, provide, prevention, epidemic","['watch', 'space', 'exploration', 'editorial', 'office', 'feeling', 'film', 'hit', 'hard', 'pandemic', 'economic', 'cultural', 'theme', 'tight', 'main', 'theme', 'grand', 'theme', 'individual', 'spiritual', 'reflect', 'individual', 'life', 'also', 'easy', 'move', 'narrow', 'situation', 'many', 'art', 'exploration', 'only', 'highlight', 'movie', 'decoration', 'even', 'sometimes', 'take', 'lead', 'movie', 'full', 'text']"
51,51,3.0,0.5943,"text, full, covid, government, staff, begin, control, provide, prevention, epidemic","['past', 'indeed', 'lot', 'valuable', 'experience', 'epidemic', 'prevention', 'control', 'even', 'static', 'inconvenience', 'actually', 'important', 'role', 'only', 'thing', 'put', 'soy', 'sauce', 'on', 'vaccine']"
52,52,3.0,0.6187,"text, full, covid, government, staff, begin, control, provide, prevention, epidemic","['watch', 'space', 'exploration', 'editorial', 'office', 'feeling', 'film', 'hit', 'hard', 'pandemic', 'economic', 'cultural', 'theme', 'tight', 'main', 'theme', 'grand', 'theme', 'individual', 'spiritual', 'reflect', 'individual', 'life', 'also', 'easy', 'move', 'narrow', 'situation', 'many', 'art', 'exploration', 'only', 'highlight', 'movie', 'decoration', 'even', 'sometimes', 'take', 'lead', 'movie', 'full', 'text']"
53,53,3.0,0.5943,"text, full, covid, government, staff, begin, control, provide, prevention, epidemic","['past', 'indeed', 'lot', 'valuable', 'experience', 'epidemic', 'prevention', 'control', 'even', 'static', 'inconvenience', 'actually', 'important', 'role', 'only', 'thing', 'put', 'soy', 'sauce', 'on', 'vaccine']"
54,54,2.0,0.8471,"epidemic, pandemic, go, full, people, time, day, many, also, first","['sometimes', 'miss', 'quiet', 'boring', 'pandemic']"
55,55,1.0,0.682,"year, last, full, time, new, again, festival, pandemic, go, spring","['last', 'so', 'only', 'people', 'call', 'concern', 'real', 'estate', 'loan', 'study', 'abroad', 'prevention', 'office', 'district', 'office', 'most', 'concerned', 'epidemic']"
56,56,2.0,0.9622,"epidemic, pandemic, go, full, people, time, day, many, also, first","['first', 'up', 'watch', 'division', 'play', 'almost', 'fifth', 'up', 'be', 'follow', 'time', 'favorite', 'come', 'follow', 'epidemic', 'now', 'teacher', 'also', 'step', 'step', 'skin', 'game', 'style', 'speech', 'game', 'mentality', 'full', 'text']"
57,57,2.0,0.4772,"epidemic, pandemic, go, full, people, time, day, many, also, first","['take', 'bath', 'suddenly', 'think', 'grandpa', 'able', 'stick', 'wearing_mask', 'acid', 'containment', 'pandemic', 'leave', 'say', 'time', 'family', 'member', 'still', 'miss']"
58,58,2.0,0.6309,"epidemic, pandemic, go, full, people, time, day, many, also, first","['first', 'time', 'pandemic', 'easy', 'let', 'eat', 'pot', 'dry_rice', 'people', 'joy']"
59,59,2.0,0.9632,"epidemic, pandemic, go, full, people, time, day, many, also, first","['take', 'picture', 'peak', 'today', 'very', 'different', 'ago', 'much', 'old', 'even', 'look', 'face', 'feel', 'very', 'tired', 'today', 'past', 'pandemic', 'hardly', 'go', 'away', 'family', 'travel', 'really', 'make', 'few', 'time', 'year', 'take', 'advantage', 'fact', 'go']"
60,60,2.0,0.9257,"epidemic, pandemic, go, full, people, time, day, many, also, first","['scenic', 'resort', 'beautiful', 'scenery', 'green', 'water', 'unfortunately', 'too', 'late', 'climb', 'top', 'mountain', 'follow', 'ancient', 'village', 'include', 'district', 'level', 'model', 'village', 'beautiful', 'key', 'village', 'protection', 'utilization', 'historical', 'cultural', 'province', 'village', 'characteristic', 'beautiful', 'province', 'beautiful', 'place', 'beautiful', 'scenery', 'food', 'history', 'culture', 'intersect', 'epidemic', 'tourism', 'yet', 'full', 'text']"
61,61,2.0,0.6662,"epidemic, pandemic, go, full, people, time, day, many, also, first","['fact', 'game', 'extremely', 'rare', 'pandemic', 'unfortunately', 'most', 'classic', 'game', 'come', 'opening', 'pick', 'long', 'time', 'replay', 'then', 'fall', 'very', 'depressed', 'state', 'watch', 'go', 'time', 'go', 'later', 'restart', 'maybe', 'state', 'time', 'good', 'time', 'win', 'work', 'stage', 'right']"
62,62,1.0,0.6765,"year, last, full, time, new, again, festival, pandemic, go, spring","['yesterday', 'cake', 'duck', 'meal', 'poke', 'meat', 'today', 'epidemic', 'documentary', 'exhibition', 'really', 'spring']"
63,63,2.0,0.806,"epidemic, pandemic, go, full, people, time, day, many, also, first","['follow', 'take', 'mask', 'late', 'research', 'transition', 'epidemic', 'prevention', 'control', 'gradual', 'warming', 'weather', 'many', 'people', 'take', 'initiative', 'remove', 'take', 'now', 'covid', 'peak', 'academician', 'make', 'late', 'judgment', 'follow', 'take', 'mask', 'late', 'research']"
64,64,2.0,0.5224,"epidemic, pandemic, go, full, people, time, day, many, also, first","['take', 'trip', 'home', 'finally', 'eat', 'bamboo', 'mind', 'see', 'spring', 'countryside', 'last', 'year', 'return', 'home', 'epidemic', 'see']"
65,65,2.0,0.9407,"epidemic, pandemic, go, full, people, time, day, many, also, first","['look', 'back', 'article', 'social', 'turn', 'also', 'life', 'numbness', 'now', 'sequelae', 'pandemic', 'close', 'social', 'life', 'really', 'just', 'boring']"
66,66,2.0,0.5484,"epidemic, pandemic, go, full, people, time, day, many, also, first","['elderly', 'enjoy', 'good', 'health', 'happiness', 'peace', 'old', 'age', 'epidemic', 'end', 'soon', 'people', 'live', 'healthy', 'happy', 'free', 'life']"
67,67,2.0,0.7205,"epidemic, pandemic, go, full, people, time, day, many, also, first","['way', 'still', 'worried', 'influenza', 'go', 'time', 'go', 'feel', 'completely', 'forget', 'also', 'epidemic', 'main', 'thing', 'wearing_mask', 'no', 'long', 'mandatory', 'process', 'place', 'visit', 'travel', 'unhindered', 'everywhere', 'else']"
68,68,2.0,0.4218,"epidemic, pandemic, go, full, people, time, day, many, also, first","['all', 'place', 'worry', 'love', 'satisfactory']"
69,69,1.0,0.499,"year, last, full, time, new, again, festival, pandemic, go, spring","['more', 'write', 'paper', 'more', 'get', 'angry', 'epidemic', 'long', 'overdue', 'fact', 'drag', 'end', 'last', 'year', 'power', 'public', 'opinion', 'come', 'end', 'university', 'more', 'thought', 'more', 'thought', 'more', 'angry', 'get', 'angry']"
70,70,2.0,0.5328,"epidemic, pandemic, go, full, people, time, day, many, also, first","['after', 'day', 'group', 'car', 'full', 'first', 'time', 'friend', 'store', 'say', 'store', 'improve', 'epidemic', 'people', 'eat', 'business', 'get', 'more', 'more', 'uncertain', 'together', 'childhood', 'old', 'still', 'lot', 'fun', 'meet', 'experience', 'closure', 'city', 'class', 'adolescence', 'else', 'ask', 'just', 'mental', 'health']"
71,71,2.0,0.5328,"epidemic, pandemic, go, full, people, time, day, many, also, first","['after', 'day', 'group', 'car', 'full', 'first', 'time', 'friend', 'store', 'say', 'store', 'improve', 'epidemic', 'people', 'eat', 'business', 'get', 'more', 'more', 'uncertain', 'together', 'childhood', 'old', 'still', 'lot', 'fun', 'meet', 'experience', 'closure', 'city', 'class', 'adolescence', 'else', 'ask', 'just', 'mental', 'health']"
72,72,1.0,0.5655,"year, last, full, time, new, again, festival, pandemic, go, spring","['号的票抢不上', '只抢到号的']"
73,73,1.0,0.34,"year, last, full, time, new, again, festival, pandemic, go, spring","['wife', 'aunt', 'old', 'due', 'outbreak', 'recent', 'contract', 'covid', 'white', 'end', 'last', 'year', 'almost', 'leave', 'aunt', 'retire', 'teacher', 'young', 'lot', 'lot', 'happy', 'later', 'elderly', 'admit', 'rehabilitation', 'center', 'hospital', 'last', 'year', 'excellent', 'condition', 'time', 'few', 'day', 'wife', 'meet', 'second', 'sister', 'come', 'get', 'fat', 'together']"
74,74,2.0,0.393,"epidemic, pandemic, go, full, people, time, day, many, also, first","['roof', 'fire', 'become', 'popular', 'recently', 'think', 'song', 'long', 'time', 'ago', 'pandemic']"
75,75,1.0,0.6543,"year, last, full, time, new, again, festival, pandemic, go, spring","['weather', 'cloudy', 'capital', 'provincial', 'sport', 'swimming', 'pool', 'annual', 'pass', 'in', 'last', 'year', 'time', 'epidemic', 'control', 'come', 'effect', 'win', 'bid', 'go', 'swim', 'march', 'buy', 'monthly', 'card', 'yuan', 'time', 'go', 'renew', 'annual', 'card', 'start', 'cycle', 'again', 'as', 'far', 'sport', 'concern', 'swimming', 'probably', 'least', 'sport', 'human', 'body', 'enter', 'age', 'body', 'always', 'walk', 'more']"
76,76,2.0,0.8496,"epidemic, pandemic, go, full, people, time, day, many, also, first","['just', 'turn', 'circle', 'previous', 'circle', 'epidemic', 'bad', 'being', 'stick', 'home', 'day', 'able', 'drink', 'cup', 'milk', 'tea', 'particularly', 'luxurious', 'thing', 'feel', 'very', 'happy', 'go', 'let', 'loose', 'now', 'think', 'much', 'time', 'dream', 'really', 'fast']"
77,77,2.0,0.9655,"epidemic, pandemic, go, full, people, time, day, many, also, first","['first', 'thing', 'go', 'eat', 'old', 'restaurant', 'fish', 'food', 'dance', 'road', 'worried', 'able', 'find', 'epidemic', 'fortunately', 'flavor', 'as', 'good', 'always', 'bamboo', 'oil', 'extremely', 'tender', 'scent', 'nectar', 'snow', 'head', 'heavy', 'flow', 'people', 'road', 'exaggerate', 'epidemic']"
78,78,2.0,0.9708,"epidemic, pandemic, go, full, people, time, day, many, also, first","['see', 'people', 'host', 'table', 'full', 'table', 'today', 'so', 'lively', 'festive', 'suddenly', 'miss', 'time', 'epidemic', 'epidemic', 'big', 'small', 'year', 'think', 'lively', 'festive', 'atmosphere', 'now', 'feel', 'that', 'lively', 'long', 'time', 'clear', 'want', 'eat', 'alcohol', 'toast', 'want', 'see', 'actually', 'really', 'nostalgic', 'now']"
79,79,2.0,0.5811,"epidemic, pandemic, go, full, people, time, day, many, also, first","['suggestion', 'wear_mask', 'next', 'peak', 'covid', 'epidemic', 'wear_mask', 'make', 'late', 'judgment', 'weather', 'warm', 'need', 'wear_mask', 'response', 'past', 'wearing_mask', 'good', 'effective', 'epidemic', 'stage', 'wearing_mask', 'already', 'optional_measure', 'full', 'text']"
80,80,2.0,0.9708,"epidemic, pandemic, go, full, people, time, day, many, also, first","['see', 'people', 'host', 'table', 'full', 'table', 'today', 'so', 'lively', 'festive', 'suddenly', 'miss', 'time', 'epidemic', 'epidemic', 'big', 'small', 'year', 'think', 'lively', 'festive', 'atmosphere', 'now', 'feel', 'that', 'lively', 'long', 'time', 'clear', 'want', 'eat', 'alcohol', 'toast', 'want', 'see', 'actually', 'really', 'nostalgic', 'now']"
81,81,2.0,0.5811,"epidemic, pandemic, go, full, people, time, day, many, also, first","['suggestion', 'wear_mask', 'next', 'peak', 'covid', 'epidemic', 'wear_mask', 'make', 'late', 'judgment', 'weather', 'warm', 'need', 'wear_mask', 'response', 'past', 'wearing_mask', 'good', 'effective', 'epidemic', 'stage', 'wearing_mask', 'already', 'optional_measure', 'full', 'text']"
82,82,2.0,0.8658,"epidemic, pandemic, go, full, people, time, day, many, also, first","['haven', 'temple', 'long', 'time', 'epidemic', 'overcrowded', 'today', 'run', 'fence', 'gate', 'gate', 'run', 'run', 'great', 'kind', 'environment', 'night', 'leave', 'deeply', 'fragrant', 'mind', 'quiet', 'peaceful', 'retire', 'early', 'great', 'salary', 'cut', 'half', 'there', 'go', 'shop', 'garden', 'run', 'enjoy', 'scenery', 'then', 'drink', 'evening', 'bottle', 'puree', 'few', 'happiness', 'so', 'simple', 'full', 'text']"
83,83,1.0,0.6076,"year, last, full, time, new, again, festival, pandemic, go, spring","['last', 'time', 'buy', 'last', 'pandemic']"
84,84,1.0,0.5087,"year, last, full, time, new, again, festival, pandemic, go, spring","['ordinary', 'spring', 'first', 'spring', 'epidemic', 'over']"
85,85,2.0,0.7956,"epidemic, pandemic, go, full, people, time, day, many, also, first","['epidemic', 'really', 'over', 'amazing', 'go', 'back', 'feel', 'school', 'open', 'there', 'need', 'report']"
86,86,1.0,0.8727,"year, last, full, time, new, again, festival, pandemic, go, spring","['airport', 'business', 'volume', 'in', 'situation', 'ahead', 'last', 'year', 'return', 'first', 'second', 'last', 'year', 'monthly', 'passenger', 'flow', 'alone', 'number', 'level', 'market', 'year', 'top', 'gradually', 'return', 'normal', 'epidemic', 'full', 'text']"
