,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,10,1.0,0.5448,"epidemic, city, full, day, year, go, closure, close, time, text","['forgot', 'pandemic', 'close', 'city', 'food', 'right', 'sure', 'wrong', 'car', 'body', 'get', 'mud', 'affect', 'road', 'surface', 'walk', 'mud']"
11,11,1.0,0.6014,"epidemic, city, full, day, year, go, closure, close, time, text","['very', 'happy', 'time', 'go', 'work', 'motorcycle', 'weekend', 'feel', 'road', 'smooth', 'then', 'suddenly', 'remember', 'other', 'people', 'don', 'go', 'work', 'weekend', 'suddenly', 'unhappy', 'most', 'enjoyable', 'time', 'ride', 'motorcycle', 'city', 'close', 'pandemic', 'only', 'go', 'work']"
12,12,1.0,0.6203,"epidemic, city, full, day, year, go, closure, close, time, text","['good', 'time', 'practice', 'probably', 'last', 'year', 'twice', 'day', 'once', 'morning', 'once', 'evening', 'commute', 'work', 'evening', 'train', 'strength', 'hour', 'really', 'time', 'go', 'run', 'morning', 'also', 'nervous', 'high', 'body', 'unhealthy', 'state', 'catch', 'severe', 'cold', 'once', 'in', 'pandemic', 'close', 'city', 'frequency', 'fitness', 'that', 'high', 'thinking', 'want', 'low', 'body', 'fat', 'healthy', 'body', 'full', 'story']"
13,13,1.0,0.5078,"epidemic, city, full, day, year, go, closure, close, time, text","['like', 'about', 'time', 'last', 'year', 'still', 'middle', 'bedroom', 'world', 'war', 'confusion', 'work', 'few', 'deep', 'move', 'graduation', 'trip', 'wake', 'all', 'place', 'cry', 'silently', 'high_speed', 'rail', 'sneak', 'make', 'noise', 'high_speed', 'rail', 'fear', 'closure', 'city', 'fear', 'closure', 'city', 'fear', 'closure', 'city', 'fear', 'closure', 'city', 'know', 'young', 'sister', 'house', 'next', 'door', 'together', 'day', 'food', 'aunt', 'opposite', 'side', 'exam', 'full', 'text']"
14,14,1.0,0.8096,"epidemic, city, full, day, year, go, closure, close, time, text","['today', 'still', 'lament', 'good', 'nervous', 'acid', 'time', 'last', 'year', 'idea', 'tomorrow', 'close', 'city', 'silently', 'even', 'stay', 'seal', 'long', 'last', 'year', 'experience', 'blink', 'eye', 'year', 'epidemic', 'history', 'thing', 'past']"
15,15,1.0,0.9654,"epidemic, city, full, day, year, go, closure, close, time, text","['closure', 'city', 'epidemic', 'take', 'break', 'day', 'day', 'day', 'new', 'year', 'finally', 'get', 'back', 'work', 'hope', 'sleep', 'clock', 'tomorrow', 'wake', 'naturally', 'let', 'wake', 'biological', 'clock']"
16,16,1.0,0.9183,"epidemic, city, full, day, year, go, closure, close, time, text","['game', 'yesterday', 'once', 'week', 'closure', 'city', 'last', 'year', 'more', 'half', 'year', 'body', 'fat', 'then', 'interrupt', 'again', 'epidemic', 'haven', 'again', 'almost', 'year', 'last', 'once', 'again', 'experience', 'joy', 'run', 'wave', 'long', 'absence', 'hope', 'once', 'week']"
17,17,1.0,0.9786,"epidemic, city, full, day, year, go, closure, close, time, text","['march', 'last', 'year', 'quite', 'happy', 'city', 'close', 'pandemic', 'mood', 'quite', 'few', 'day', 'work', 'home', 'able', 'eat', 'time', 'day', 'work', 'overtime', 'finish', 'exercise', 'start', 'chase', 'rest', 'life', 'evening', 'teach', 'more', 'spend', 'day', 'march', 'year', 'mental', 'work']"
18,18,1.0,0.9119,"epidemic, city, full, day, year, go, closure, close, time, text","['write', 'lot', 'messy', 'stuff', 'month', 'epidemic', 'close']"
19,19,1.0,0.6257,"epidemic, city, full, day, year, go, closure, close, time, text","['start', 'end', 'after', 'epidemic', 'close', 'city', 'weather', 'too', 'hot', 'start', 'school', 'close', 'epidemic', 'early', 'epidemic', 'finally', 'get', 'application', 'already', 'wait', 'branch', 'review', 'application', 'committee', 'discuss', 'report', 'organization', 'department', 'committee', 'approval', 'before', 'receive', 'volunteer', 'letter', 'anyway', 'bother', 'large', 'number', 'people', 'heart', 'few']"
20,20,1.0,0.8475,"epidemic, city, full, day, year, go, closure, close, time, text","['roommate', 'get', 'marry', 'make', 'become', 'bridesmaid', 'break', 'leg', 'become', 'leader', 'son', 'get', 'marry', 'get', 'marry', 'good', 'friend', 'next', 'day', 'epidemic', 'close', 'get', 'marry', 'good', 'friend', 'make', 'go', 'wedding', 'throw', 'diarrhea', 'just', 'up', 'hang', 'water', 'feel', 'else', 'happiness', 'spot']"
21,21,1.0,0.7433,"epidemic, city, full, day, year, go, closure, close, time, text","['job', 'search', 'go', 'very', 'smoothly', 'difficult', 'go', 'anywhere', 'interview', 'few', 'day', 'tossing', 'turn', 'find', 'place', 'settle', 'suddenly', 'time', 'closure', 'city', 'pandemic', 'thank', 'place', 'settle', 'then']"
22,22,1.0,0.8503,"epidemic, city, full, day, year, go, closure, close, time, text","['military', 'epidemic', 'closure', 'city', 'affect', 'much', 'bitterness', 'simple', 'sheet', 'paper', 'contain']"
23,23,1.0,0.8592,"epidemic, city, full, day, year, go, closure, close, time, text","['epidemic', 'torture', 'today', 'first', 'time', 'closure', 'see', 'family', 'moment', 'very', 'negative', 'go', 'process', 'anticipation', 'second', 'half', 'fall', 'time', 'time', 'again', 'elastic', 'band', 'finally', 'completely', 'lose', 'elasticity', 'always', 'use', 'least', 'hopeless', 'attitude', 'reduce', 'damage', 'even', 'point', 'still', 'real', 'sense', 'confidence', 'watch', 'tonight', 'full', 'story']"
24,24,1.0,0.6697,"epidemic, city, full, day, year, go, closure, close, time, text","['pandemic', 'too', 'much', 'too', 'much', 'feel', 'suffocate', 'today', 'one', 'concerned', 'psychological', 'left', 'behind', 'closure', 'city']"
25,25,1.0,0.6384,"epidemic, city, full, day, year, go, closure, close, time, text","['here', 'quietly', 'speak', 'heart', 'midst', 'meditation', 'always', 'feel', 'bless', 'try', 'think', 'too', 'much', 'dad', 'condition', 'recent', 'period', 'put', 'incident', 'bottom', 'heart', 'epidemic', 'closure', 'city', 'dad', 'hospital', 'high', 'fever', 'hospital', 'then', 'condition', 'never', 'use', 'chemotherapy', 'almost', 'time', 'no', 'matter', 'job', 'full', 'text']"
26,26,1.0,0.9748,"epidemic, city, full, day, year, go, closure, close, time, text","['fourth', 'day', 'escape', 'day', 'wedding', 'end', 'say', 'closure', 'city', 'instructor', 'carefully', 'wake', 'wake', 'baby', 'good', 'clock', 'arrive', 'service', 'area', 'wish', 'ready', 'refuel', 'experienced', 'toilet', 'epidemic', 'way', 'service', 'area', 'keep', 'seal', 'full', 'text']"
27,27,1.0,0.9791,"epidemic, city, full, day, year, go, closure, close, time, text","['say', 'epidemic', 'severe', 'few', 'ago', 'certain', 'extent', 'mild', 'city', 'closure', 'people', 'street', 'however', 'go', 'walk', 'just', 'spring', 'see', 'cherry', 'bloom', 'feel', 'so', 'impact', 'effect', 'cherry', 'at', 'all', 'still', 'bloom', 'one', 'watch', 'at', 'all', 'still', 'that', 'open', 'so', 'full', 'article']"
28,28,1.0,0.6404,"epidemic, city, full, day, year, go, closure, close, time, text",[]
29,29,1.0,0.9705,"epidemic, city, full, day, year, go, closure, close, time, text","['downstair', 'away', 'there', 'single', 'greeting', 'epidemic', 'close', 'city', 'last', 'year', 'food', 'line', 'make', 'acid', 'together', 'sun', 'few', 'ago', 'dependent', 'now', 'let', 'just', 'leave', 'little', 'lost']"
30,30,1.0,0.7477,"epidemic, city, full, day, year, go, closure, close, time, text","['big', 'procrastination', 'busy', 'fall', 'love', 'hurry', 'hurriedly', 'rush', 'hand', 'thinking', 'probably', 'go', 'still', 'think', 'night', 'portfolio', 'strong', 'enough', 'buy', 'material', 'expect', 'thankful', 'fortunately', 'haven', 'go', 'halfway', 'thankful', 'teacher', 'program', 'make', 'hair', 'white', 'take', 'home', 'pandemic', 'close', 'come', 'work', 'model', 'full', 'text']"
31,31,1.0,0.603,"epidemic, city, full, day, year, go, closure, close, time, text","['person', 'health', 'then', 'look', 'dad', 'bronchiectasis', 'get', 'hole', 'throat', 'never', 'go', 'work', 'normally', 'again', 'example', 'beat', 'deaf', 'person', 'head', 'hear', 'kind', 'pain', 'work', 'bedridden', 'vegetative', 'person', 'half', 'half', 'then', 'epidemic', 'closure', 'world', 'epidemic', 'full', 'story']"
32,32,2.0,0.4969,"city, people, epidemic, control, text, fight, medical, prevention, full, government","['today', 'last', 'year', 'eve', 'closure', 'city', 'darkness', 'silence', 'people', 'upset', 'uneasy', 'face', 'rage', 'epidemic', 'heart', 'content', 'terrible', 'scene', 'contradictory', 'people', 'know', 'go', 'above', 'people', 'heart', 'many', 'look', 'back', 'now', 'know', 'comment', 'epidemic', 'prevention', 'temporary', 'turn', 'so', 'far', 'easy', 'make', 'conclusion']"
33,33,1.0,0.5305,"epidemic, city, full, day, year, go, closure, close, time, text","['today', 'brother', 'cycling', 'speak', 'city', 'close', 'pandemic', 'spend', 'ride', 'bicycle', 'back', 'forth', 'see', 'ex', 'ride', 'traffic', 'go', 'ride', 'bike', 'just', 'so', 'boring', 'say', 'ride', 'bike', 'house', 'warm', 'summer', 'then', 'next', 'second', 'wrong', 'tell', 'brother', 'hell', 'way', 'find', 'man']"
34,34,1.0,0.9092,"epidemic, city, full, day, year, go, closure, close, time, text","['watch', 'episode', 'expect', 'epidemic', 'mask', 'disinfectant', 'blockade', 'drop', 'sky', 'now', 'think', 'past', 'just', 'nightmare', 'gradually', 'wake', 'story', 'indescribable']"
35,35,3.0,0.4867,"country, first, confirm, covid, total, science, growth, text, exam, acid","['alcohol', 'epidemic', 'closure', 'brush', 'thank', 'acid', 'year', 'start', 'first', 'apply', 'acid', 'zo', 'acid', 'brushing', 'run', 'ask', 'quick', 'gradual', 'want', 'roll', 'acid', 'brushing', 'acid', 'originally', 'thing', 'feel', 'good', 'redness', 'peel', 'sting', 'pain', 'full', 'story']"
36,36,0.0,0.5316,"covid, impact, such, spread, outbreak, public, state, current, director, say","['queen', 'video', 'chat', 'queen', 'castle', 'pandemic', 'queen', 'video', 'teaching', 'translation', 'family']"
37,37,1.0,0.8046,"epidemic, city, full, day, year, go, closure, close, time, text","['day', 'ago', 'friend', 'again', 'city', 'close', 'last', 'year', 'always', 'feel', 'long', 'time', 'fact', 'only', 'year', 'today', 'quite', 'small', 'overall', 'process', 'society', 'now', 'always', 'say', 'epidemic', 'end', 'overnight', 'past', 'become', 'unworthy', 'mention', 'however', 'say', 'good', 'bad', 'experience', 'experience', 'damage', 'body', 'mind', 'even', 'more', 'irreversible', 'want', 'full', 'text']"
38,38,1.0,0.8517,"epidemic, city, full, day, year, go, closure, close, time, text","['recently', 'watch', 'eighth', 'crisis', 'again', 'lot', 'old', 'ask', 'haven', 'talk', 'finance', 'current', 'lately', 'actually', 'hold', 'lot', 'want', 'talk', 'tonight', 'just', 'say', 'economic', 'downturn', 'pandemic', 'actually', 'see', 'extreme', 'pressure', 'closure', 'epidemic', 'extreme', 'pressure', 'inflation', 'antitrust', 'extreme', 'pressure', 'republic', 'big', 'crisis', 'now', 'full', 'text']"
39,39,1.0,0.9429,"epidemic, city, full, day, year, go, closure, close, time, text","['really', 'epidemic', 'time', 'close', 'city', 'gain', 'about', 'even_though', 'epidemic', 'over', 'still', 'very']"
40,40,1.0,0.887,"epidemic, city, full, day, year, go, closure, close, time, text","['particularly', 'anxious', 'recently', 'anxious', 'epidemic', 'close', 'last', 'year', 'today', 'nag', 'sister', 'say', 'also', 'lot', 'pressure', 'sister', 'say', 'now', 'just', 'bend', 'rice', 'do', 'enough', 'business', 'say', 'lot', 'pressure', 'scratch', 'head', 'say', 'more', 'also', 'very', 'anxious', 'probably', 'afraid', 'won', 'stable', 'income', 'want', 'income', 'safety', 'full', 'story']"
41,41,1.0,0.6076,"epidemic, city, full, day, year, go, closure, close, time, text","['see', 'people', 'say', 'closure', 'city', 'epidemic', 'ridiculous', 'evaluate', 'instead', 'feel', 'people', 'use', 'term', 'ridiculous', 'essentially', 'people', 'live', 'good', 'life', 'rich', 'already', 'top', 'food', 'chain', 'fact', 'war', 'precarious']"
42,42,1.0,0.6939,"epidemic, city, full, day, year, go, closure, close, time, text","['downstair', 'close', 'on', 'thankfully', 'epidemic', 'close', 'last', 'year', 'large', 'supermarket', 'downstair', 'people', 'livelihood', 'also', 'convenient', 'go', 'out', 'buy', 'sometimes', 'people', 'lazy', 'choose', 'delivery', 'difficult', 'want', 'sign', 'next', 'time', 'fortunately', 'membership', 'universal', 'use', 'go', 'other', 'county']"
43,43,1.0,0.9751,"epidemic, city, full, day, year, go, closure, close, time, text","['time', 'ago', 'epidemic', 'just', 'agency', 'pack', 'directly', 'only', 'able', 'receive', 'past', 'good', 'thing', 'imagine', 'time', 'person', 'go', 'go', 'home', 'entire', 'enrollment', 'time', 'semester', 'first', 'time', 'night', 'confused', 'future', 'full', 'story']"
44,44,1.0,0.5587,"epidemic, city, full, day, year, go, closure, close, time, text","['epidemic', 'close', 'popular', 'just', 'crackdown', 'go', 'popular', 'right', 'away', 'know', 'really', 'feel', 'real', 'comment', 'section', 'still', 'mad', 'alma', 'mater']"
45,45,1.0,0.956,"epidemic, city, full, day, year, go, closure, close, time, text","['remember', 'once', 'last', 'winter', 'opening', 'board', 'closure', 'opening', 'snowy', 'season', 'epidemic', 'now', 'know', 'happen', 'next', 'winter']"
46,46,1.0,0.9819,"epidemic, city, full, day, year, go, closure, close, time, text","['buy', 'time', 'very', 'sweet', 'also', 'lot', 'juice', 'loquat', 'sweet', 'year', 'last', 'year', 'say', 'eat', 'take', 'taxi', 'then', 'bring', 'house', 'then', 'epidemic', 'city', 'close', 'right', 'away', 'lock', 'home', 'say', 'eat', 'be', 'block', 'yet', 'send', 'hour', 'year', 'still', 'pamper', 'year', 'regular', 'couple', 'full', 'story']"
47,47,1.0,0.9185,"epidemic, city, full, day, year, go, closure, close, time, text","['closure', 'city', 'leave', 'home', 'last', 'year', 'return', 'home', 'mid', 'then', 'infect', 'covid', 'just', 'long', 'before', 'medical', 'examination', 'surgery', 'year', 'then', 'health', 'recover', 'haven', 'touch', 'camera', 'take', 'period', 'seem', 'lose', 'love', 'once', 'tonight', 'take', 'camera', 'take']"
48,48,1.0,0.8702,"epidemic, city, full, day, year, go, closure, close, time, text","['pandemic', 'closure', 'guest', 'get', 'carry', 'away', 'pen', 'ink', 'idle', 'as_result', 'vain', 'pollute', 'tear', 'see', 'figure', 'little', 'too', 'cruel', 'say', 'bear', 'paper', 'get', 'painter', 'choice', 'present', 'afar', 'handwriting', 'write', 'only', 'use', 'full', 'text']"
49,49,1.0,0.8584,"epidemic, city, full, day, year, go, closure, close, time, text","['graduate', 'college', 'around', 'old', 'old', 'take', 'parental', 'aid', 'factor', 'really', 'want', 'take', 'mortgage', 'count', 'car', 'then', 'closure', 'city', 'epidemic', 'full', 'text']"
50,50,1.0,0.893,"epidemic, city, full, day, year, go, closure, close, time, text","['suddenly', 'remember', 'last', 'year', 'epidemic', 'school', 'closure', 'price', 'school', 'fruit', 'go', 'take', 'long', 'dad', 'contact', 'dad', 'busy', 'move', 'factory', 'say', 'stick', 'still', 'drive', 'all', 'way', 'buy', 'fruit', 'gate', 'hand', 'dad', 'get', 'school', 'chat', 'say', 'end', 'say', 'full', 'story']"
51,51,1.0,0.8686,"epidemic, city, full, day, year, go, closure, close, time, text","['turn', 'city', 'close', 'year']"
52,52,1.0,0.98,"epidemic, city, full, day, year, go, closure, close, time, text","['county', 'epidemic', 'use', 'home', 'occasionally', 'fun', 'on', 'epidemic', 'year', 'almost', 'close', 'almost', 'half', 'year', 'unable', 'go', 'home', 'new', 'year', 'epidemic', 'really', 'pass', 'time', 'occasionally', 'share', 'circle', 'as_result', 'account', 'later', 'block', 'malicious', 'only', 'account', 'time', 'many', 'old', 'full', 'text']"
53,53,1.0,0.8598,"epidemic, city, full, day, year, go, closure, close, time, text","['impact', 'month', 'closure', 'city', 'impact', 'birth', 'rate', 'population', 'unfold', 'first', 'time', 'lead', 'high', 'end', 'affect', 'economy', 'as', 'pessimistic', 'pandemic', 'optimistic', 'moment']"
54,54,1.0,0.5487,"epidemic, city, full, day, year, go, closure, close, time, text","['closure', 'city', 'plague', 'epidemic', 'go', 'road', 'owner', 'noodle', 'restaurant', 'still', 'kind', 'friendly', 'reason', 'business', 'good', 'epidemic', 'eventually', 'stand', 'good', 'night', 'county']"
55,55,1.0,0.8748,"epidemic, city, full, day, year, go, closure, close, time, text","['know', 'think', 'year', 'epidemic', 'especially', 'city', 'close', 'feel', 'cry', 'right', 'now', 'station']"
56,56,1.0,0.9283,"epidemic, city, full, day, year, go, closure, close, time, text","['last', 'year', 'today', 'city', 'close', 'block', 'ming', 'festival', 'year']"
57,57,1.0,0.9694,"epidemic, city, full, day, year, go, closure, close, time, text","['lapse', 'medicine', 'everywhere', 'closure', 'city', 'time', 'really', 'afraid', 'medicine', 'leave', 'tireless', 'bear', 'hard', 'work', 'however', 'spring', 'earth', 'epidemic', 'blockade', 'city', 'leave', 'little', 'little', 'less', 'month', 'unwilling']"
58,58,1.0,0.862,"epidemic, city, full, day, year, go, closure, close, time, text","['so', 'go', 'music', 'festival', 'last', 'night', 'second', 'time', 'first', 'time', 'buy', 'end', 'next', 'time', 'city', 'close', 'pandemic', 'miss', 'concert', 'ticket']"
59,59,1.0,0.747,"epidemic, city, full, day, year, go, closure, close, time, text","['today', 'driver', 'use', 'model', 'worker', 'city', 'use', 'spend', 'medical', 'treatment', 'old', 'father', 'now', 'only', 'come', 'go', 'school', 'use', 'drive', 'bus', 'convoy', 'number', 'pandemic', 'team', 'only', 'give', 'gift', 'more', 'sharp', 'drop', 'income', 'force', 'quit', 'stable', 'job', 'closure', 'leave', 'instead', 'take', 'initiative', 'help', 'people', 'community', 'say', 'believe', 'full', 'text']"
60,60,3.0,0.5359,"country, first, confirm, covid, total, science, growth, text, exam, acid","['central', 'base', 'central', 'base', 'vigorously', 'certain', 'industry', 'still', 'secretly', 'money', 'recruit', 'so', 'wear', 'simple', 'protective', 'clothing', 'take', 'group', 'young', 'cause', 'disappearance', 'more', 'dozen', 'panda', 'center', 'announce', 'cause', 'death', 'large_scale', 'base', 'epidemic', 'closure', 'early', 'full', 'text']"
61,61,1.0,0.5882,"epidemic, city, full, day, year, go, closure, close, time, text","['originally', 'think', 'do', 'group', 'business', 'complete', 'outsider', 'closure', 'city', 'pandemic', 'group', 'really', 'lot', 'life', 'true', 'now', 'evaluate', 'correspond', 'output', 'private', 'domain', 'agency', 'business', 'soon', 'later', 'private', 'domain', 'operation', 'business', 'become', 'real', 'business', 'last', 'year', 'sister', 'honeybee', 'head', 'first', 'team', 'ma', 'leader', 'league', 'few', 'team', 'actually', 'sell', 'good', 'really', 'exhausting', 'full', 'text']"
62,62,1.0,0.4739,"epidemic, city, full, day, year, go, closure, close, time, text","['actually', 'make', 'own', 'dish', 'soap', 'peel', 'bake', 'soda', 'one', 'make', 'watery', 'that', 'sticky', 'method', 'use', 'epidemic', 'close', 'city', 'run', 'detergent', 'home', 'soak', 'put', 'watering', 'spray', 'plate', 'few', 'time', 'oil', 'removal', 'effect', 'very', 'good']"
63,63,1.0,0.7524,"epidemic, city, full, day, year, go, closure, close, time, text","['feeling', 'now', 'night', 'epidemic', 'first', 'close', 'city', 'really', 'want', 'laugh', 'put', 'stop', 'time']"
64,64,1.0,0.9621,"epidemic, city, full, day, year, go, closure, close, time, text","['really', 'want', 'go', 'night', 'live', 'year', 'country', 'night', 'very', 'solemn', 'year', 'too', 'last', 'year', 'hard', 'time', 'home', 'as_result', 'epidemic']"
65,65,1.0,0.9433,"epidemic, city, full, day, year, go, closure, close, time, text","['suddenly', 'think', 'stray', 'find', 'food', 'city', 'close', 'pandemic', 'haven', 'fortunately', 'epidemic', 'over']"
66,66,1.0,0.9784,"epidemic, city, full, day, year, go, closure, close, time, text","['dream', 'yesterday', 'dream', 'epidemic', 'closure', 'city', 'go', 'back', 'grandfather', 'grandmother', 'still', 'there', 'come', 'car', 'know', 'take', 'fall', 'asleep', 'back', 'seat', 'car', 'wake', 'next', 'aurora', 'starry', 'sky', 'parallel', 'time', 'space', 'make', 'different', 'choice', 'story', 'dream', 'world']"
67,67,1.0,0.8777,"epidemic, city, full, day, year, go, closure, close, time, text","['warmly', 'celebrate', 'day', 'actress', 'amateur', 'go', 'hand', 'hand', 'year', 'together', 'pandemic', 'close', 'city']"
68,68,1.0,0.5768,"epidemic, city, full, day, year, go, closure, close, time, text","['epidemic', 'follow', 'drama', 'say', 'city', 'close', 'still', 'giggle', 'amazed', 'heart', 'still', 'unwillingly', 'flow']"
69,69,1.0,0.9783,"epidemic, city, full, day, year, go, closure, close, time, text","['turn', 'relationship', 'young', 'sister', 'young', 'sister', 'go', 'college', 'together', 'northeast', 'time', 'epidemic', 'epidemic', 'close', 'city', 'boy', 'also', 'know', 'come', 'live', 'outside', 'alone', 'bring', 'see', 'yet', 'definitely', 'tell', 'go', 'back', 'future', 'boy', 'go', 'home', 'full', 'text']"
70,70,1.0,0.9465,"epidemic, city, full, day, year, go, closure, close, time, text","['city', 'close', 'month', 'epidemic', 'even', 'get', 'interested', 'dress', 'month', 'suddenly', 'down', 'buy', 'before']"
71,71,1.0,0.8214,"epidemic, city, full, day, year, go, closure, close, time, text","['last', 'wave', 'epidemic', 'closure', 'city', 'close', 'school', 'close', 'live', 'alone', 'bedroom', 'plenty', 'clothing', 'food']"
72,72,1.0,0.5306,"epidemic, city, full, day, year, go, closure, close, time, text","['day', 'quarantine', 'period', 'return', 'home', 'epidemic', 'catch', 'closure', 'almost', 'no', 'quarantine', 'meal', 'child', 'high', 'mouth', 'ulcer', 'fever', 'know', 'heart', 'covid', 'kind', 'suffering', 'keep', 'sleep', 'whole', 'night', 'root', 'disease', 'as', 'hot', 'fire', 'child', 'sick', 'rest', 'life', 'today', 'child', 'indigestion', 'vomiting', 'colic', 'fever', 'feel', 'as', 'bad', 'hold', 'fire', 'again']"
73,73,1.0,0.9839,"epidemic, city, full, day, year, go, closure, close, time, text","['cherry', 'house', 'full', 'bloom', 'almost', 'no', 'ground', 'just', 'bloom', 'good', 'entire', 'cherry', 'blossom', 'season', 'last', 'year', 'closure', 'city', 'pandemic', 'hope', 'able', 'enjoy', 'beautiful', 'flower', 'again', 'year', 'think', 'back', 'go', 'almost', 'famous', 'cherry', 'blossom', 'century', 'park', 'park', 'next', 'station', 'park', 'similar', 'year', 'year', 'people', 'different', 'year', 'year', 'full', 'text']"
74,74,1.0,0.941,"epidemic, city, full, day, year, go, closure, close, time, text","['follow', 'personal', 'misuse', 'thank', 'most', 'year', 'special', 'situation', 'epidemic', 'close', 'city', 'plenty', 'time', 'paint', 'hand', 'paint', 'work', 'as_result', 'resist', 'ai', 'infringement', 'work', 'last', 'year', 'currently', 'only', 'work', 'post', 'once', 'year', 'more', 'paint', 'more', 'think', 'more', 'interesting', 'pure', 'hand', 'painting', 'full', 'text']"
75,75,1.0,0.7528,"epidemic, city, full, day, year, go, closure, close, time, text","['think', 'covid', 'outbreak', 'early', 'mind', 'city', 'close', 'control', 'condition', 'actual', 'closure', 'city', 'feel', 'also', 'foresight', 'however', 'look', 'back', 'post', 'pandemic', 'era', 'later', 'deeply', 'feel', 'closure', 'city', 'huge', 'economic', 'impact', 'city', 'experience', 'pain', 'month', 'blockade', 'lot', 'so', 'many', 'people', 'face', 'various', 'livelihood', 'full', 'story']"
76,76,1.0,0.9652,"epidemic, city, full, day, year, go, closure, close, time, text","['vest', 'line', 'train', 'record', 'mobile', 'phone', 'epidemic', 'almost', 'interrupt', 'closure', 'city', 'focus', 'on', 'stomach', 'abuse', 'start', 'fat', 'day', 'day', 'full', 'text']"
77,77,1.0,0.7356,"epidemic, city, full, day, year, go, closure, close, time, text","['most', 'really', 'listen', 'wat', 'break', 'closure', 'wat', 'so', 'just', 'clip', 'knowledgeable', 'case', 'discover', 'full', 'year', 'so', 'much']"
78,78,1.0,0.8775,"epidemic, city, full, day, year, go, closure, close, time, text","['miss', 'dad', 'cry', 'lot', 'lounge', 'noon', 'dad', 'buy', 'sick', 'get', 'sick', 'eat', 'brain', 'buy', 'dad', 'leave', 'city', 'close', 'epidemic', 'see', 'last', 'give', 'last', 'trip', 'fact', 'spend', 'day', 'dad', 'leave', 'regret', 'lot', 'now', 'listen']"
79,79,1.0,0.9414,"epidemic, city, full, day, year, go, closure, close, time, text","['close', 'down', 'there', 'well', 'very', 'least', 'quality', 'video', 'much', 'high', 'closure', 'coffee']"
